"We now have 4-month-old mice that are non-diabetic that used to be diabetic," he added.	« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.	« Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques et qui étaient auparavant diabétiques », a-t-il ajouté.	"We now have four-month-old mice that are not diabetic when they were before," he added.
Feral children may have experienced severe child abuse or trauma before being abandoned or running away.	Les enfants sauvages peuvent avoir subi de graves abus ou traumatismes avant d'être abandonnés ou de s'enfuir.	Les enfants sauvages peuvent avoir subi de graves sévices ou traumatismes avant d'être abandonnés ou de fuir.	Wild children may have suffered severe abuse or trauma before they were abandoned or fled.
Others are alleged to have been brought up by animals; some are said to have lived in the wild on their own.	D’autres auraient été élevés par des animaux ; certains auraient vécu seuls dans la nature.	D'autres auraient été élevés par des animaux; d'autres auraient vécu seuls dans la nature.	Others would have been raised by animals; some would have lived alone in nature.
When completely brought up by non-human animals, the feral child exhibits behaviors (within physical limits) almost entirely like those of the particular care-animal, such as its fear of or indifference to humans.	Lorsqu'ils sont entièrement élevés par des espèces non humaines, les enfants sauvages affichent des comportements (dans les limites de leurs dispositions physiques) presque identiques à ceux des animaux qui les ont élevés, tels que la peur ou l'indifférence envers les humains.	Lorsqu'il est complètement élevé par des animaux non humains, l'enfant sauvage présente des comportements (dans des limites physiques) presque entièrement semblables à ceux de l'animal de soin particulier, comme sa peur ou son indifférence envers les humains.	When fully raised by non-human species, wild children display behaviour (within the limits of their physical dispositions) almost identical to those of the animals that reared them, such as fear or indifference to humans.
While project based learning should make learning easier and more interesting, scaffolding goes a step beyond.	Tandis que la pédagogie de projet devrait rendre l'apprentissage plus facile et plus intéressant, le soutien va plus loin.	Bien que l'apprentissage basé sur le projet devrait rendre l'apprentissage plus facile et plus intéressant, l'échafaudage va au-delà.	While project pedagogy should make learning easier and more interesting, support goes further.
Scaffolding is not a method of learning but rather an aid that provides support to individuals whom are undergoing a new learning experience such as using a new computer program or beginning a new project.	Le soutien n'est pas une méthode d'apprentissage mais davantage un moyen d'aider les apprenants qui découvrent un nouvel enseignement tel que l'utilisation d'un nouveau programme ou le début d'un nouveau projet.	L'échafaudage n'est pas une méthode d'apprentissage, mais plutôt une aide qui fournit un soutien aux personnes qui subissent une nouvelle expérience d'apprentissage, comme l'utilisation d'un nouveau programme informatique ou le lancement d'un nouveau projet.	Support is not a method of learning but rather a means of helping learners who discover new teaching such as using a new program or starting a new project.
Scaffolds can be both virtual and real, in other words, a teacher is a form of scaffold but so is the little paperclip man in Microsoft Office.	Les soutiens peuvent être à la fois virtuels et réels. Autrement dit, un professeur est une forme de soutien, mais le petit homme trombone de Microsoft Office en est un aussi.	Les échafaudages peuvent être à la fois virtuels et réels, en d'autres termes, un enseignant est une forme d'échafaudage, mais aussi le petit homme de paperclip dans Microsoft Office.	Supports can be both virtual and real. In other words, a teacher is a form of support, but the small man trombone of Microsoft Office is also one.
Virtual Scaffolds are internalized in the software and are meant to question, prompt, and explain procedures that may have been to challenging for the student to handle alone.	Les échafaudages virtuels sont intégrés dans le logiciel et sont destinés à interroger, guider et expliquer des procédures qui auraient pu être trop difficiles à gérer pour l'élève seul.	Les échafaudages virtuels sont internalisés dans le logiciel et visent à remettre en question, à accélérer et à expliquer les procédures qui auraient pu être difficiles pour l'étudiant à gérer seul.	Virtual scaffolding is integrated into the software and is intended to interview, guide and explain procedures that could have been too difficult to manage for the student alone.
Children are placed in Foster Care for a wide variety of reasons that range from neglect, to abuse, and even to extortion.	Les enfants sont placés dans des familles d’accueil pour des raisons très diverses qui vont de la négligence à la maltraitance, en passant par l’extorsion.	Les enfants sont placés en famille d'accueil pour une grande variété de raisons allant de la négligence, à la maltraitance, et même à l'extorsion.	Children are placed in foster families for a wide variety of reasons, ranging from neglect to abuse to extortion.
No child should ever have to grow up in an environment that is not nurturing, caring, and educational, but they do.	Aucun enfant ne devrait jamais avoir à grandir dans un environnement qui n’est pas stimulant, attentionné et éducatif, mais c’est le cas.	Aucun enfant ne devrait jamais avoir à grandir dans un environnement qui n'est pas nourrissant, attentionné et éducatif, mais ils le font.	No child should ever have to grow up in an environment that is not stimulating, caring and educational, but it is.
We perceive the Foster Care System to be a safety zone for these children.	Nous percevons le système de placement familial comme une zone de sécurité pour ces enfants.	Nous percevons le système de placement familial comme une zone de sécurité pour ces enfants.	We see the foster care system as a safe area for these children.
Our foster care system is supposed to provide safe homes, loving caregivers, stable education, and reliable health care.	Notre système de placement en famille d'accueil est supposé fournir des foyers sûrs, des soignants aimants, une éducation stable et des soins de santé fiables.	Notre système de placement familial est censé fournir des foyers sûrs, des soignants aimants, une éducation stable et des soins de santé fiables.	Our foster care system is supposed to provide safe homes, loving caregivers, stable education and reliable health care.
Foster care is supposed to provide all the necessities that were lacking in the home they were previously taken from.	Le placement en famille d’accueil est censé fournir toutes les nécessités qui faisaient défaut dans le foyer d’où ils ont été auparavant retirés.	Les soins aux familles d'accueil sont censés fournir toutes les nécessités qui manquaient dans la maison qu'ils avaient précédemment prise.	Foster care is intended to provide all the necessities that were lacking in the home from which they were previously removed.
The Internet combines elements of both mass and interpersonal communication.	Internet allie des éléments de communication de masse et de communication interpersonnelle.	L'Internet combine des éléments de communication de masse et interpersonnelle.	The Internet combines elements of mass communication and interpersonal communication.
The distinct characteristics of the Internet lead to additional dimensions in terms of the uses and gratifications approach.	Les caractéristiques distinctes d'Internet conduisent à des dimensions supplémentaires en termes d'approche des usages et des gratifications.	Les caractéristiques distinctes d'Internet conduisent à des dimensions supplémentaires en termes d'utilisations et de gratifications.	The distinct characteristics of the Internet lead to additional dimensions in terms of the approach to usages and gratuities.
For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).	Par exemple, « l'apprentissage » et « la socialisation » sont considérés comme de grands facteurs favorisant l'utilisation d'Internet (James et al., 1995).	Par exemple, l'apprentissage et la socialisation sont suggérés comme des motivations importantes pour l'utilisation d'Internet (James et coll., 1995).	For example, "learning" and "socialization" are considered to be major factors in the use of the Internet (James et al., 1995).
“Personal involvement” and “continuing relationships” were also identified as new motivation aspects by Eighmey and McCord (1998) when they investigated audience reactions to websites.	« L’implication personnelle » et « les relations continues » ont également été identifiées comme étant de nouveaux aspects motivationnels par Eighmey et McCord (1998) lorsqu’ils ont étudié les réactions du public vis-à-vis des sites internet.	L'implication personnelle et les relations continues ont également été identifiées comme de nouveaux aspects de motivation par Eighmey et McCord (1998) lorsqu'ils ont étudié les réactions du public aux sites Web.	"Personal involvement" and "continuous relationships" were also identified as new motivational aspects by Eighmey and McCord (1998) when they studied public reactions to websites.
The use of video recording has led to important discoveries in the interpretation of micro-expressions, facial movements which last a few milliseconds.	L'usage de l'enregistrement vidéo a mené à de grandes découvertes dans l'interprétation des micro-expressions, c'est-à-dire des expressions faciales durant quelques millisecondes.	L'utilisation de l'enregistrement vidéo a conduit à des découvertes importantes dans l'interprétation des micro-expressions, mouvements du visage qui durent quelques millisecondes.	The use of video recording led to great discoveries in the interpretation of micro-expressions, i.e. facial expressions for a few milliseconds.
In particular, it is claimed that one can detect whether a person is lying by interpreting micro-expressions correctly.	On prétend notamment que l’on peut détecter si une personne ment en interprétant correctement des micro-expressions.	En particulier, on prétend que l'on peut détecter si une personne ment en interprétant correctement les micro-expressions.	In particular, it is claimed that it is possible to detect if a person is lying by correctly interpreting micro-expressions.
Oliver Sacks, in his paper The President's Speech, indicated how people who are unable to understand speech because of brain damage are nevertheless able to assess sincerity accurately.	Oliver Sacks, dans son article Le discours du président, a indiqué comment les personnes ne pouvant pas comprendre le discours en raison de lésions cérébrales sont néanmoins en mesure d’évaluer la sincérité avec précision.	Oliver Sacks, dans son article Le discours du président, a indiqué comment les personnes qui sont incapables de comprendre la parole en raison de lésions cérébrales sont néanmoins capables d'évaluer avec précision la sincérité.	Oliver Sacks, in his article The Speaker's Speech, described how people who cannot understand the speech due to brain damage are nevertheless able to accurately assess sincerity.
He even suggests that such abilities in interpreting human behavior may be shared by animals such as domestic dogs.	Il suggère même que de telles capacités d’interprétation du comportement humain peuvent se trouver chez des animaux tels que les chiens domestiques.	Il suggère même que de telles capacités dans l'interprétation du comportement humain peuvent être partagées par des animaux comme les chiens domestiques.	It even suggests that such ability to interpret human behaviour may be found in animals such as domestic dogs.
Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed.	Les recherches du vingtième siècle ont montré qu’il existe deux réservoirs de variation génétique : caché et exprimé.	Les recherches du XXe siècle ont montré qu'il existe deux bassins de variation génétique : caché et exprimé.	Research of the twentieth century has shown that there are two reservoirs of genetic variation: hidden and expressed.
Mutation adds new genetic variation, and selection removes it from the pool of expressed variation.	La mutation ajoute une nouvelle variation génétique, et la sélection l'enlève de la réserve des variations exprimées.	La mutation ajoute une nouvelle variation génétique, et la sélection la retire du pool de variation exprimée.	The mutation adds a new genetic variation, and the selection removes it from the reserve of the expressed variations.
Segregation and recombination shuffle variation back and forth between the two pools with each generation.	La ségrégation et la recombinaison font alterner les variations entre les deux bassins à chaque génération.	Ségrégation et recombinaison shuffle variation aller-retour entre les deux bassins avec chaque génération.	Segregation and recombination alternate between the two basins at each generation.
Out on the savanna, it is hard for a primate with a digestive system like that of humans to satisfy its amino-acid requirements from available plant resources.	Dans la savane, il est difficile pour un primate doté d'un système digestif semblable à celui des humains de satisfaire ses besoins en acides aminés à partir des ressources végétales disponibles.	Sur la savane, il est difficile pour un primate avec un système digestif comme celui des humains de satisfaire ses besoins en acides aminés à partir des ressources végétales disponibles.	In savannah, it is difficult for a primate with a digestive system similar to that of humans to satisfy its amino acid needs from available plant resources.
Moreover, failure to do so has serious consequences: growth depression, malnutrition, and ultimately death.	En outre, une absence de réaction a de graves conséquences : troubles de la croissance, malnutrition et en fin de compte, la mort.	De plus, le fait de ne pas le faire a de graves conséquences : la dépression de croissance, la malnutrition et, en fin de compte, la mort.	In addition, a lack of response has serious consequences: growth disorders, malnutrition and ultimately death.
The most readily accessible plant resources would have been the proteins accessible in leaves and legumes, but these are hard for primates like us to digest unless they are cooked.	Les ressources végétales les plus facilement accessibles seraient les protéines contenues dans les feuilles et les légumineuses, mais celles-ci sont difficiles à digérer pour des primates comme nous, à moins d'être cuites.	Les ressources végétales les plus facilement accessibles auraient été les protéines accessibles dans les feuilles et les légumineuses, mais celles-ci sont difficiles pour les primates comme nous à digérer à moins qu'elles ne soient cuites.	The most readily available plant resources would be the proteins contained in leaves and legumes, but they are difficult to digest for primates like us, unless they are cooked.
In contrast, animal foods (ants, termites, eggs) not only are easily digestible, but they provide high-quantity proteins that contain all the essential amino acids.	Par opposition, la nourriture d'origine animale (fourmis, termites, œufs) est facile à digérer tout en apportant une grande quantité de protéines renfermant tous les acides aminés vitaux.	En revanche, les aliments pour animaux (tants, termites, oeufs) non seulement sont facilement digestibles, mais ils fournissent des protéines de haute quantité qui contiennent tous les acides aminés essentiels.	In contrast, food of animal origin (formis, termites, eggs) is easy to digest while providing a large amount of protein containing all vital amino acids.
All things considered, we should not be surprised if our own ancestors solved their "protein problem" in somewhat the same way that chimps on the savanna do today.	Tout bien considéré, nous ne devrions pas être surpris si nos propres ancêtres ont résolu leur « problème de protéines » un peu de la même manière que les chimpanzés de la savane le font aujourd'hui.	Toutes choses considérées, nous ne devrions pas être surpris si nos propres ancêtres ont résolu leur "protéines problème" quelque peu de la même manière que les chimpanzés sur la savane aujourd'hui.	All things considered, we should not be surprised if our own ancestors have solved their "protein problem" a little in the same way as the chimpanzees of savannah do today.
Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).	L'interruption du sommeil est le processus qui consiste en l'éveil intentionnel durant votre période de sommeil et l'assoupissement peu de temps après (de 10 à 60 minutes).	L'interruption du sommeil est le processus de s'éveiller délibérément pendant votre période normale de sommeil et de s'endormir un peu plus tard (10 à 60 minutes).	Sleep interruption is the process of intentional awakening during your sleep period and sleep soon after (from 10 to 60 minutes).
This can be easily done by using a relatively quiet alarm clock to bring you to consciousness without fully waking you.	Cela peut être fait facilement en utilisant un réveil relativement silencieux, afin de vous faire reprendre conscience sans vous réveiller complètement.	Cela peut être facilement fait en utilisant un réveil relativement silencieux pour vous amener à la conscience sans vous réveiller complètement.	This can be done easily by using a relatively silent awakening, in order to make you regain consciousness without waking up completely.
If you find yourself resetting the clock in your sleep, it can be placed on the other side of the room, forcing you to get out of bed to turn it off.	Si vous vous retrouvez à réinitialiser l’horloge pendant votre sommeil, il peut être placé de l’autre côté de la pièce, vous forçant à sortir du lit pour l’éteindre.	Si vous vous retrouvez réinitialiser l'horloge dans votre sommeil, il peut être placé de l'autre côté de la pièce, vous forçant à sortir du lit pour l'éteindre.	If you find yourself resetting the clock during your sleep, it can be placed on the other side of the room, forcing you out of bed to turn off.
Other biorhythm-based options involve drinking lots of fluid (particularly water or tea, a known diuretic) prior to sleep, forcing one to get up to urinate.	Les autres possibilités fondées sur le biorythme incluent le fait de boire beaucoup de liquides avant de s'endormir (notamment de l'eau ou du thé, réputés pour être diurétiques), ce qui vous contraint à vous réveiller pour uriner.	D'autres options basées sur le biorythme consistent à boire beaucoup de liquide (en particulier de l'eau ou du thé, un diurétique connu) avant de dormir, obligeant une personne à monter à uriner.	Other biorhythm-based options include drinking plenty of fluids before falling asleep (including water or tea, known to be diuretics), which forces you to wake up to urinate.
The amount of inner peace a person possesses correlates oppositely to the amount of tension in one’s body and spirit.	Le degré de paix intérieure d'une personne s'oppose au degré de tension dans son corps et son esprit.	La quantité de paix intérieure qu'une personne possède est corrélée à la quantité de tension dans son corps et son esprit.	The degree of inner peace of a person is opposed to the degree of tension in his body and mind.
The lower the tension, the more positive the life force present. Every person has the potential to find absolute peace and contentment.	Plus la tension est faible, plus la force vitale présente est positive. Chaque personne a la possibilité de trouver une paix et un contentement absolus.	Plus la tension est basse, plus la force de vie présente est positive. Chaque personne a le potentiel de trouver la paix absolue et le contentement.	The weaker the tension, the more positive the present vital force is. Each person has the opportunity to find absolute peace and contentment.
Everyone can achieve enlightenment. The only thing standing in the way of this goal is our own tension and negativity.	Tout le monde peut atteindre l'illumination. La seule chose qui fait obstacle à cet objectif est notre propre tension et notre négativité.	Tout le monde peut réaliser l'illumination. La seule chose qui s'oppose à cet objectif est notre propre tension et négativité.	Everyone can achieve enlightenment. The only thing that hinders this goal is our own tension and our negativity.
The Tibetan Buddhism is based on the teachings of Buddha, but were extended by the mahayana path of love and by a lot of techniques from Indian Yoga.	Le bouddhisme tibétain est basé sur les enseignements de Bouddha, mais a été enrichi par le chemin de l'amour mahayana et par de nombreuses techniques du yoga indien.	Le bouddhisme tibétain est basé sur les enseignements de Bouddha, mais ont été étendus par le chemin mahayana de l'amour et par beaucoup de techniques du yoga indien.	Tibetan Buddhism is based on Buddha's teachings, but has been enriched by the path of Mahayana love and many Indian yoga techniques.
In principle the Tibetan Buddhism is very simple. It consists of Kundalini Yoga, meditation and the path of all-embracing love.	En principe, le bouddhisme tibétain est très simple. Il se compose du Kundalini Yoga, de la méditation et de la voie de l'amour universel.	En principe, le bouddhisme tibétain est très simple. Il se compose du Kundalini Yoga, de la méditation et du chemin de l'amour universel.	In principle, Tibetan Buddhism is very simple. It consists of Kundalini Yoga, meditation and the path of universal love.
With Kundalini Yoga the Kundalini energy (enlightenment energy) is awakened through yoga postures, breathing exercises, mantras and visualizations.	Avec le Kundalini Yoga, l’énergie Kundalini (énergie d’illumination) est éveillée par des postures de yoga, des exercices de respiration, des mantras et des visualisations.	Avec le Kundalini Yoga, l'énergie de Kundalini (énergie de lumière) est réveillée par des postures de yoga, des exercices respiratoires, des mantras et des visualisations.	With Kundalini Yoga, Kundalini energy (light energy) is awakened by yoga postures, breathing exercises, mantras and visualizations.
The center of Tibetan meditation is the Deity Yoga. Through the visualization of various deities the energy channels are cleaned, the chakras are activated and the enlightenment consciousness is created.	Le centre de la méditation tibétaine est le yoga de la déité. C'est grâce à la visualisation de différentes déités que les canaux d'énergie sont nettoyés, les chakras activés, et la conscience d'éveil créée.	Le centre de la méditation tibétaine est le Yoga de la Déité. Grâce à la visualisation de diverses divinités, les canaux énergétiques sont nettoyés, les chakras sont activés et la conscience de l'illumination est créée.	The center of Tibetan meditation is the yoga of deity. It is thanks to the visualization of different deities that the energy channels are cleaned, the activated chakras, and the awakening consciousness created.
Germany was a common enemy in World War 2, leading to cooperation between the USSR and USA. With the end of the war the clashes of system, process and culture led to the countries falling out.	L'Allemagne était un ennemi commun pendant la Seconde Guerre mondiale, ce qui a conduit à la coopération entre l'URSS et les États-Unis. À la fin de la guerre, les conflits profonds entre leurs différents systèmes, méthodes et cultures ont mis fin à l'entente entre ces deux pays.	L'Allemagne a été un ennemi commun pendant la Seconde Guerre mondiale, conduisant à la coopération entre l'URSS et les États-Unis. Avec la fin de la guerre, les affrontements du système, du processus et de la culture ont conduit les pays à tomber.	Germany was a common enemy during the Second World War, which led to cooperation between the USSR and the United States. At the end of the war, the deep conflicts between their different systems, methods and cultures ended the understanding between these two countries.
With two years of the end of the war, the former allies were now enemies and the Cold War began.	Deux ans après la fin de la guerre, les anciens alliés sont devenus des ennemis et la guerre froide a commencé.	Avec deux ans de la fin de la guerre, les anciens alliés étaient maintenant ennemis et la guerre froide a commencé.	Two years after the end of the war, the former allies became enemies and the cold war began.
It was to last for the next 40 years and would be fought for real, by proxy armies, on battlefields from Africa to Asia, in Afghanistan, Cuba and many other places.	Elle allait durer pendant les 40 années suivantes et verrait des affrontements réels, par le biais d'armées de substitution, sur des champs de bataille aussi bien en Afrique qu'en Asie, en Afghanistan, à Cuba et dans bien d'autres endroits.	Elle devait durer pendant 40 ans et serait combattue pour de vrai, par des armées par procuration, sur des champs de bataille d'Afrique à Asie, en Afghanistan, à Cuba et dans de nombreux autres endroits.	It would last for the next 40 years and would see real clashes, through alternative armies, on battlefields in Africa, Asia, Afghanistan, Cuba and many other places.
By September 17, 1939, the Polish defense was already broken, and the only hope was to retreat and reorganise along the Romanian bridgehead.	Le 17 septembre 1939, la défense polonaise était déjà brisée, et le seul espoir était de battre en retraite et de se réorganiser le long de la tête de pont roumaine.	Le 17 septembre 1939, la défense polonaise était déjà brisée, et le seul espoir était de se retirer et de se réorganiser le long de la tête de pont roumaine.	On 17 September 1939, the Polish defence was already broken, and the only hope was to retreat and reorganize along the Romanian bridgehead.
However, these plans were rendered obsolete nearly overnight, when over 800,000 soldiers from the Soviet's Union Red Army entered and created the Belarussian and Ukrainian fronts after invading the eastern regions of Poland in violation of the Riga Peace Treaty, the Soviet-Polish Non-Aggression Pact, and other international treaties, both bilateral and multilateral.	Mais ces plans sont devenus obsolètes presque du jour au lendemain, quand plus de 800 000 soldats de l’Armée rouge de l’Union soviétique sont arrivés et ont créé le front biélorusse et ukrainien après avoir envahi les régions est de la Pologne, violant ainsi le Traité de Paix de Riga, le pacte de non-agression soviéto-polonais, ainsi que d’autres traités internationaux, qu’ils soient bilatéraux ou multilatéraux.	Cependant, ces plans ont été rendus obsolètes presque du jour au lendemain, lorsque plus de 800 000 soldats de l'Armée rouge de l'Union soviétique sont entrés et ont créé les fronts bélarussien et ukrainien après avoir envahi les régions orientales de la Pologne en violation du Traité de paix de Riga, du Pacte de non-agression soviet-polonais et d'autres traités internationaux, tant bilatéraux que multilatéraux.	But these plans became obsolete almost overnight, when more than 800,000 soldiers of the Red Army of the Soviet Union arrived and created the Belarusian and Ukrainian front after having invaded the eastern regions of Poland, thus violating the Riga Peace Treaty, the Soviet-Polish non-aggression pact, and other international treaties, be they bilateral or multilateral.
Using ships to transport goods is by far the most efficient way to move large amounts of people and goods across oceans.	L'utilisation de navires pour le transport de marchandises est de loin le moyen le plus efficace pour déplacer de grandes quantités de personnes et de biens à travers les océans.	L'utilisation des navires pour le transport de marchandises est de loin le moyen le plus efficace de transporter de grandes quantités de personnes et de marchandises à travers les océans.	The use of ships to transport goods is by far the most effective way to move large quantities of people and goods across the oceans.
The job of navies has traditionally been to ensure that your country maintains the ability to move your people and goods, while at the same time, interfering with your enemy's ability to move his people and goods.	Le travail des marines a traditionnellement été de s'assurer que votre pays conserve la capacité de déplacer vos personnes et vos biens, tout en interférant avec la capacité de votre ennemi à déplacer ses personnes et ses biens.	Traditionnellement, le travail des marines a été de veiller à ce que votre pays conserve la capacité de déplacer votre peuple et vos biens, tout en interférant avec la capacité de votre ennemi de déplacer son peuple et ses biens.	The work of the marines has traditionally been to ensure that your country retains the ability to move your people and property, while interfering with your enemy's ability to move its people and property.
One of the most noteworthy recent examples of this was the North Atlantic campaign of WWII. The Americans were trying to move men and materials across the Atlantic Ocean to help Britain.	L'un des exemples récents les plus remarquables de cette situation a été la campagne North Atlantic pendant la Seconde Guerre mondiale. Les Américains tentaient de faire traverser l'océan Atlantique à des soldats et du matériel pour aider la Grande-Bretagne.	L'un des exemples récents les plus marquants en a été la campagne de l'Atlantique Nord de la Deuxième Guerre mondiale. Les Américains essayaient de déplacer des hommes et des matériaux à travers l'océan Atlantique pour aider la Grande-Bretagne.	One of the most remarkable recent examples of this situation was the North Atlantic campaign during World War II. The Americans were trying to get soldiers and equipment across the Atlantic Ocean to help Britain.
At the same time, the German navy, using mainly U-boats, was trying to stop this traffic.	Au même moment, la marine allemande, utilisant principalement des U-Boots, tentait d'arrêter ce trafic.	Dans le même temps, la marine allemande, utilisant principalement des U-boats, essayait d'arrêter ce trafic.	At the same time, the German navy, mainly using U-Boots, was trying to stop this traffic.
Had the Allies failed, Germany probably would have been able to conquer Britain as it had the rest of Europe.	Si les Alliés avaient échoué, l'Allemagne aurait probablement pu conquérir la Grande-Bretagne comme elle l'a fait pour le reste de l'Europe.	Si les Alliés avaient échoué, l'Allemagne aurait probablement pu conquérir la Grande-Bretagne comme elle l'avait fait pour le reste de l'Europe.	If the Allies had failed, Germany could probably have conquered Britain as it did for the rest of Europe.
Goats seem to have been first domesticated roughly 10,000 years ago in the Zagros Mountains of Iran.	Il semble que les chèvres aient été domestiquées pour la première fois il y a environ 10 000 ans dans les monts Zagros en Iran.	Les chèvres semblent avoir été domestiquées pour la première fois il y a environ 10 000 ans dans les montagnes Zagros d'Iran.	It appears that goats were domesticated for the first time about 10,000 years ago in the Zagro Mountains of Iran.
Ancient cultures and tribes began to keep them for easy access to milk, hair, meat, and skins.	Les cultures et les tribus anciennes ont commencé à les garder près d'elles pour avoir facilement accès au lait, aux poils, à la viande et aux peaux.	Les cultures anciennes et les tribus ont commencé à les garder pour un accès facile au lait, aux cheveux, à la viande et aux peaux.	The ancient cultures and tribes began to keep them close to them for easy access to milk, hair, meat and skins.
Domestic goats were generally kept in herds that wandered on hills or other grazing areas, often tended by goatherds who were frequently children or adolescents, similar to the more widely known shepherd. These methods of herding are still used today.	Les chèvres domestiques étaient généralement gardées dans les troupeaux qui erraient sur les collines ou d'autres espaces de pâturage, souvent soignées par des chevriers qui étaient la plupart du temps des enfants ou des adolescents, semblables au terme plus connu de bergers. Ces méthodes pastorales ont toujours cours aujourd'hui.	Les chèvres domestiques étaient généralement gardées dans des troupeaux qui erraient sur des collines ou d'autres pâturages, souvent fréquentés par des chèvres qui étaient souvent des enfants ou des adolescents, comme le berger le plus connu. Ces méthodes d'élevage sont encore utilisées aujourd'hui.	Domestic goats were usually kept in herds that wandered on the hills or other pasture areas, often cared for by chevriers who were mostly children or teenagers, similar to the more known term shepherds. These pastoral methods always take place today.
Wagonways were built in England as early as the 16th Century.	Les « wagonways » étaient construits en Angleterre dès le XVIème siècle.	Wagonways ont été construits en Angleterre dès le 16ème siècle.	The "carways" were built in England as early as the 16th century.
Although wagonways merely consisted of parallel planks of wood, they allowed horses pulling them to achieve greater speeds and pull larger loads than on the slightly more rough roads of the day.	Bien que les voies pour wagons fussent simplement constituées de planches de bois parallèles, elles permettaient aux chevaux qui les tiraient d'atteindre de plus grandes vitesses et de tirer des charges plus importantes que sur les routes légèrement plus accidentées de la journée.	Bien que les voies de chemin de fer ne soient que des planches parallèles de bois, elles permettent aux chevaux de les tirer plus vite et de tirer plus de charges que sur les routes un peu plus rugueuses de la journée.	Although car tracks were simply made up of parallel wooden boards, they allowed the horses who pulled them to achieve higher speeds and to pull larger loads than on slightly more rugged roads of the day.
Crossties were introduced fairly early to hold the tracks in place. Gradually, however, it was realised that tracks would be more efficient if they had a stip of iron on the top.	Les croisillons ont été introduits assez tôt pour maintenir les pistes en place. Cependant, on s'est peu à peu rendu compte que les pistes seraient plus efficaces si elles étaient munies d'une bande de fer sur le dessus.	Les traverses ont été introduites assez tôt pour tenir les pistes en place. Cependant, peu à peu, on s'est rendu compte que les voies seraient plus efficaces si elles avaient une pointe de fer sur le dessus.	The cruises were introduced early enough to keep the runways in place. However, it was gradually realized that the runways would be more effective if they were equipped with an iron strip on top.
This became common practice, but the iron caused more wear on the wooden wheels of the wagons.	Cela est devenu une pratique courante, mais le fer a causé plus d'usure sur les roues en bois des wagons.	Cela est devenu une pratique courante, mais le fer a causé plus d'usure sur les roues en bois des wagons.	This has become a common practice, but iron has caused more wear on the wooden wheels of cars.
Eventually, wooden wheels were replaced by iron wheels. In 1767, the first full-iron rails were introduced.	Finalement, les roues en bois ont été remplacées par des roues en fer. En 1767, les premiers rails en fer ont fait leur apparition.	Finalement, les roues en bois ont été remplacées par des roues en fer. En 1767, les premiers rails en fer complet ont été introduits.	Finally, the wooden wheels were replaced by iron wheels. In 1767, the first iron rails appeared.
The first known transportation was walking, humans began walking upright two million years ago with the emergence of Homo Erectus (meaning upright man).	Le tout premier moyen de locomotion était la marche : les humains se mirent à marcher debout il y a deux millions d'années avec l'arrivée de l'Homo Erectus (« homme droit »).	Le premier transport connu était la marche, les humains ont commencé à marcher debout il y a deux millions d'années avec l'émergence de l'Homo Erectus (l'homme droit).	The very first way of locomotion was walking: humans started walking up two million years ago with the arrival of Homo Erectus ("right man").
Their predecessors, the Australopithecus did not walk upright as habitually.	Leurs prédécesseurs, les australopithèques, ne marchaient pas debout comme d’habitude.	Leurs prédécesseurs, l'Australopithecus ne marchaient pas debout comme d'habitude.	Their predecessors, the Australopitheques, did not walk as usual.
Bipedal specializations are found in Australopithecus fossils from 4.2-3.9 million years ago, although Sahelanthropus may have walked on two legs as early as seven million years ago.	On trouve des spécialisations bipèdes dans les fossiles d’Australopithecus d’il y a 4,2 à 3,9 millions d’années, bien que le Sahelanthropus ait pu marcher sur deux jambes il y a déjà sept millions d’années.	On trouve des spécialisations bipédiques dans les fossiles d'Australopithecus de 4,2 à 3,9 millions d'années auparavant, bien que l'anthrope sahélien ait peut-être marché sur deux pattes il y a sept millions d'années.	Biped specializations are found in the fossils of Australopithecus, 4.2 to 3.9 million years ago, although the Sahelanthropus was able to walk on two legs seven million years ago.
We can start living more friendly to the environment, we can join to the environmental movement, and we can even be activists in order to reduce the future suffering in some degree.	Nous pouvons commencer par vivre en meilleure harmonie avec l'environnement, nous pouvons rejoindre le mouvement environnemental, et nous pouvons même militer dans le but d'atténuer les souffrances à venir.	Nous pouvons commencer à vivre plus amicaux à l'environnement, nous pouvons nous joindre au mouvement environnemental, et nous pouvons même être des militants afin de réduire les souffrances futures dans une certaine mesure.	We can start by living in better harmony with the environment, we can join the environmental movement, and we can even campaign to alleviate future suffering.
This is just like symptomatic treatment in many cases. However, if we do not only want a temporary solution, then we should find the root of the problems, and we should deactivate them.	Dans de nombreux cas, il s’agit d’un traitement symptomatique. Cependant, si nous ne voulons pas seulement une solution temporaire, nous devons trouver la racine des problèmes et les désactiver.	C'est comme un traitement symptomatique dans de nombreux cas. Cependant, si nous ne voulons pas seulement une solution temporaire, alors nous devrions trouver la racine des problèmes, et nous devrions les désactiver.	In many cases, it is symptomatic treatment. However, if we do not only want a temporary solution, we must find the root of the problems and disable them.
