"We now have 4-month-old mice that are non-diabetic that used to be diabetic," he added.	„Wir haben jetzt 4 Monate alte Mäuse, die Diabetes hatten und jetzt keinen mehr haben“, fügte er hinzu.	"Wir haben jetzt vier Monate alte Mäuse, die nicht-diabetisch sind, die früher Diabetiker waren", fügte er hinzu.	"We now have 4 months old mice who had diabetes and now have no more," he added.
With Kundalini Yoga the Kundalini energy (enlightenment energy) is awakened through yoga postures, breathing exercises, mantras and visualizations.	Mit Kundalini-Yoga wird die Kundalini-Energie (Aufklärungsenergie) durch Yoga-Posen, Atemübungen, Mantras und Visualisierungen erweckt.	Mit Kundalini Yoga wird die Kundalini Energie (Aufklärungsenergie) durch Yogahaltungen, Atemübungen, Mantras und Visualisierungen geweckt.	With Kundalini-Yoga, the Kundalini energy (enlightenment energy) is awakened by yoga poses, breathing exercises, mantras and visualizations.
The center of Tibetan meditation is the Deity Yoga. Through the visualization of various deities the energy channels are cleaned, the chakras are activated and the enlightenment consciousness is created.	Im Zentrum der tibetischen Meditation steht das Götter-Yoga. Durch die Visualisierung verschiedener Gottheiten werden die Energiekanäle gereinigt, die Chakren geöffnet und das erleuchtete Bewusstsein entsteht.	Das Zentrum der tibetischen Meditation ist der Gottheit Yoga. Durch die Visualisierung verschiedener Gottheiten werden die Energiekanäle gereinigt, die Chakren aktiviert und das Erleuchtungsbewusstsein geschaffen.	At the center of Tibetan meditation is the God Yoga. Through the visualization of different deities, the energy channels are purified, the chakras are opened and the enlightened consciousness arises.
Germany was a common enemy in World War 2, leading to cooperation between the USSR and USA. With the end of the war the clashes of system, process and culture led to the countries falling out.	Deutschland war ein gemeinsamer Feind im Zweiten Weltkrieg, was zu einer Zusammenarbeit zwischen der UdSSR und den USA führte. Nach Kriegsende führten der Zusammenprall der Systeme, der Verlauf und die Kultur dazu, dass sich die Länder verfeindeten.	Deutschland war ein gemeinsamer Feind im Zweiten Weltkrieg, was zur Zusammenarbeit zwischen der UdSSR und den USA führte. Mit dem Ende des Krieges führten die Zusammenstöße von System, Prozess und Kultur dazu, dass die Länder ausfielen.	Germany was a common enemy in the Second World War, leading to cooperation between the USSR and the USA. After the end of the war, the clash between the systems, the course and the culture led the countries to oppose each other.
With two years of the end of the war, the former allies were now enemies and the Cold War began.	Zwei Jahre nach Kriegsende waren die ehemaligen Alliierten nun Feinde und der Kalte Krieg begann.	Mit zwei Jahren Ende des Krieges waren die ehemaligen Verbündeten nun Feinde und der Kalte Krieg begann.	Two years after the end of the war, the former allies were now enemies and the Cold War began.
It was to last for the next 40 years and would be fought for real, by proxy armies, on battlefields from Africa to Asia, in Afghanistan, Cuba and many other places.	Er sollte die nächsten 40 Jahre andauern und in der Realität durch Stellvertreter-Armeen auf Schlachtfeldern von Afrika bis Asien, in Afghanistan, Kuba und vielen anderen Orten austragen werden.	Es sollte für die nächsten 40 Jahre andauern und für reale, von Stellvertreterarmeen, auf Schlachtfeldern von Afrika bis Asien, in Afghanistan, Kuba und vielen anderen Orten gekämpft werden.	It should last for the next 40 years and, in reality, be carried out by proxy armies on battlefields from Africa to Asia, Afghanistan, Cuba and many other places.
By September 17, 1939, the Polish defense was already broken, and the only hope was to retreat and reorganise along the Romanian bridgehead.	Am 17. September 1939 war die polnische Verteidigung bereits völlig zusammengebrochen und die einzige Hoffnung bestand in einem Rückzug und einer Neuaufstellung entlang des rumänischen Brückenkopfes.	Bis zum 17. September 1939 war die polnische Verteidigung bereits gebrochen, und die einzige Hoffnung war, sich entlang des rumänischen Brückenkopfes zurückzuziehen und zu reorganisieren.	On 17 September 1939, the Polish defense had already collapsed completely and the only hope was a retreat and a new setup along the Romanian bridgehead.
However, these plans were rendered obsolete nearly overnight, when over 800,000 soldiers from the Soviet's Union Red Army entered and created the Belarussian and Ukrainian fronts after invading the eastern regions of Poland in violation of the Riga Peace Treaty, the Soviet-Polish Non-Aggression Pact, and other international treaties, both bilateral and multilateral.	Diese Pläne wurden jedoch fast über Nacht obsolet, als über 800.000 Soldaten der Roten Armee der Sowjetunion in die weißrussischen und ukrainischen Fronten eindrangen und diese schufen, nachdem sie in Verletzung des Friedensvertrags von Riga, des sowjetisch-polnischen Nichtangriffspakts und anderer bilateraler und multilateraler internationaler Verträge in die östlichen Regionen Polens eingedrungen waren.	Diese Pläne wurden jedoch fast über Nacht überholt, als über 800.000 Soldaten der Roten Armee der Sowjetunion in die weißrussischen und ukrainischen Fronten eintraten, nachdem sie die östlichen Regionen Polens unter Verletzung des Rigaer Friedensvertrags, des sowjetisch-polnischen Nichtangriffspaktes und anderer internationaler Verträge, sowohl bilateraler als auch multilateraler, einmarschierten.	These plans, however, became obsolete almost overnight when over 800,000 soldiers of the Soviet Red Army invaded the Belarusian and Ukrainian fronts and created them after they invaded the eastern regions of Poland in violation of the Riga peace treaty, the Soviet-Polish non-aggression pact and other bilateral and multilateral international treaties.
Using ships to transport goods is by far the most efficient way to move large amounts of people and goods across oceans.	Der Einsatz von Schiffen für den Gütertransport ist die bei weitem effizienteste Methode zum Transport großer Menschen- und Gütermengen über die Ozeane.	Der Einsatz von Schiffen zum Transport von Gütern ist bei weitem der effizienteste Weg, um große Mengen von Menschen und Gütern über die Ozeane zu transportieren.	The use of ships for the transport of goods is by far the most efficient method of transporting large quantities of people and goods across the oceans.
The job of navies has traditionally been to ensure that your country maintains the ability to move your people and goods, while at the same time, interfering with your enemy's ability to move his people and goods.	Die Aufgabe der Marine war traditionell sicherzustellen, dass ein Land in der Lage bleibt, Menschen und Güter zu befördern, und gleichzeitig die Fähigkeit des Feindes zur Beförderung von Menschen und Gütern zu behindern.	Die Aufgabe der Marines war traditionell, sicherzustellen, dass Ihr Land die Fähigkeit, Ihr Volk und Ihre Waren zu bewegen, während gleichzeitig, in die Fähigkeit Ihres Feindes, sein Volk und seine Waren zu bewegen stören.	The mission of the Navy has traditionally been to ensure that a country remains able to transport people and goods, while at the same time hindering the enemy's ability to transport people and goods.
One of the most noteworthy recent examples of this was the North Atlantic campaign of WWII. The Americans were trying to move men and materials across the Atlantic Ocean to help Britain.	Eines der bedeutendsten neueren Beispiele dafür ist die Nordatlantik-Kampagne im zweiten Weltkrieg. Die Amerikaner versuchten, Belegschaft und Material über den atlantischen Ozean zu bringen, um Großbritannien zu helfen.	Eines der bemerkenswertesten Beispiele dafür war die Nordatlantik-Kampagne des Zweiten Weltkriegs. Die Amerikaner versuchten, Männer und Materialien über den Atlantik zu bewegen, um Großbritannien zu helfen.	One of the most important recent examples of this is the North Atlantic campaign in World War II. Americans tried to bring workers and materials across the Atlantic Ocean to help Britain.
At the same time, the German navy, using mainly U-boats, was trying to stop this traffic.	Gleichzeitig versuchte die deutsche Marine diesen Verkehr hauptsächlich mit U-Booten aufzuhalten.	Gleichzeitig versuchte die deutsche Marine, hauptsächlich U-Boote zu benutzen, diesen Verkehr zu stoppen.	At the same time, the German Navy tried to stop this traffic mainly with submarines.
Had the Allies failed, Germany probably would have been able to conquer Britain as it had the rest of Europe.	Wären die Alliierten gescheitert, so hätte Deutschland Großbritannien wahrscheinlich genau wie den Rest Europas erobern können.	Hätten die Alliierten versagt, wäre Deutschland wahrscheinlich in der Lage gewesen, Großbritannien zu erobern, wie es den Rest Europas hatte.	If the Allies had failed, Germany could probably have conquered Britain just like the rest of Europe.
Goats seem to have been first domesticated roughly 10,000 years ago in the Zagros Mountains of Iran.	Ziegen wurden anscheinend bereits vor ungefähr 10.000 Jahren im Zāgros-Gebirge im Iran domestiziert.	Ziegen scheinen vor etwa 10.000 Jahren im Zagros-Gebirge des Iran erstmals domestiziert worden zu sein.	Goats were apparently domesticated in the Zāgros Mountains in Iran about 10,000 years ago.
Ancient cultures and tribes began to keep them for easy access to milk, hair, meat, and skins.	Antike Kulturen und Volksstämme begannen sie als Nutztiere zu halten, um leicht an deren Milch, Fell, Fleisch und Haut zu kommen.	Die alten Kulturen und Stämme begannen, sie für einen einfachen Zugang zu Milch, Haaren, Fleisch und Fellen zu halten.	Ancient cultures and folk tribes began to hold them as farm animals in order to easily get to their milk, fur, meat and skin.
Domestic goats were generally kept in herds that wandered on hills or other grazing areas, often tended by goatherds who were frequently children or adolescents, similar to the more widely known shepherd. These methods of herding are still used today.	Hausziegen wurden normalerweise in Herden gehalten, die auf Hügeln oder anderen Weideflächen umherwanderten.  Betreut wurden die Ziegen von Ziegenhirten, ganz ähnlich wie die bekannteren Schafhirten; oft waren das Kinder oder Heranwachsende. Diese Weideverfahren werden heute noch angewendet.	Hausziegen wurden in der Regel in Herden gehalten, die auf Hügeln oder anderen Weidegebieten wanderten, oft von Ziegenhirten gepflegt, die häufig Kinder oder Jugendliche waren, ähnlich dem weithin bekannten Hirten. Diese Methoden der Herdung werden noch heute verwendet.	Domestic goats were usually kept in herds that wandered on hills or other pastures. Goats were cared for by herdsmen of goats, much like the more well-known shepherds of sheep; often the children or adolescents were. These grazing methods are still used today.
Wagonways were built in England as early as the 16th Century.	Schon im 16. Jahrhundert hat man in England  Fördergleise gebaut.	Bereits im 16. Jahrhundert wurden in England Wagonways gebaut.	Already in the 16th century, conveyor tracks were built in England.
Although wagonways merely consisted of parallel planks of wood, they allowed horses pulling them to achieve greater speeds and pull larger loads than on the slightly more rough roads of the day.	Obwohl die Fördergleise lediglich aus parallelen Holzbrettern bestanden, erlaubten sie den Pferden, welche die Waggons zogen, höhere Geschwindigkeiten zu erreichen und größere Lasten zu ziehen als auf den etwas raueren Straßen der damaligen Zeit.	Obwohl Waggonways lediglich aus parallelen Holzplanken bestanden, erlaubten sie Pferden, sie zu ziehen, um größere Geschwindigkeiten zu erreichen und größere Lasten als auf den etwas raueren Straßen des Tages zu ziehen.	Although the conveyor tracks consisted only of parallel wooden boards, they allowed the horses, who pulled the wagons, to reach higher speeds and to pull greater loads than on the somewhat rougher roads of the time.
Crossties were introduced fairly early to hold the tracks in place. Gradually, however, it was realised that tracks would be more efficient if they had a stip of iron on the top.	Schon recht früh wurden Schwellen eingeführt, um die Position der Schienen zu sichern. Nach und nach setzte sich aber die Erkenntnis durch, dass Schienen, die ein Band aus Eisen tragen, effizienter sind.	Crossties wurden ziemlich früh eingeführt, um die Gleise an Ort und Stelle zu halten. Allmählich wurde jedoch erkannt, dass Tracks effizienter sein würden, wenn sie ein Stück Eisen auf der Spitze hätten.	At a very early stage, thresholds were introduced to secure the position of the rails. Gradually, however, the realization that rails carrying a belt of iron were more efficient.
This became common practice, but the iron caused more wear on the wooden wheels of the wagons.	Dies wurde üblich, doch das Eisen sorgte für mehr Verschleiß an den hölzernen Rädern der Wagen.	Dies wurde gängige Praxis, aber das Eisen verursachte mehr Verschleiß auf den hölzernen Rädern der Wagen.	This became common, but the iron caused more wear on the wooden wheels of the wagons.
Eventually, wooden wheels were replaced by iron wheels. In 1767, the first full-iron rails were introduced.	Schließlich wurden die Holzräder durch Eisenräder ersetzt. 1767 wurden die ersten vollständig eisernen Schienen eingeführt.	Schließlich wurden Holzräder durch Eisenräder ersetzt. 1767 wurden die ersten Volleisenschienen eingeführt.	Finally, the wooden wheels were replaced by iron wheels. In 1767, the first completely iron rails were introduced.
The first known transportation was walking, humans began walking upright two million years ago with the emergence of Homo Erectus (meaning upright man).	Die erste bekannte Fortbewegungsart war das Gehen. Der Mensch begann vor zwei Millionen Jahren mit dem Aufkommen des Homo Erectus (was „Aufrechter Mensch“ bedeutet) aufrecht zu gehen.	Der erste bekannte Transport war zu Fuß, Menschen begannen aufrecht zu gehen vor zwei Millionen Jahren mit der Entstehung von Homo Erectus (was aufrechter Mann).	The first known mode of transportation was walking. Man began to walk upright two million years ago with the advent of Homo Erectus (meaning "upright Man").
Their predecessors, the Australopithecus did not walk upright as habitually.	Ihre Vorgänger, die Australopithecus, gingen nicht so regelmäßig aufrecht.	Ihre Vorgänger, der Australopithecus, gingen nicht so gewohnheitsmäßig aufrecht.	Her predecessors, the Australopithecus, did not go up so regularly.
Bipedal specializations are found in Australopithecus fossils from 4.2-3.9 million years ago, although Sahelanthropus may have walked on two legs as early as seven million years ago.	Zweifüßige Arten finden sich in Australopithecus-Fossilien von vor 4,2 bis 3,9 Millionen Jahren, obwohl Sahelanthropus möglicherweise bereits vor sieben Millionen Jahren auf zwei Beinen ging.	Bipedale Spezialisierungen finden sich in den Fossilien des Australopithecus vor 4,2-3,9 Millionen Jahren, obwohl Sahelanthropus bereits vor sieben Millionen Jahren auf zwei Beinen gegangen sein könnte.	Two-footed species are found in Australopithecus fossils from 4.2 to 3.9 million years ago, although Sahelanthropus may have been on two legs seven million years ago.
We can start living more friendly to the environment, we can join to the environmental movement, and we can even be activists in order to reduce the future suffering in some degree.	Wir können umweltfreundlicher leben, wir können uns der Umweltbewegung anschließen, und wir können sogar Aktivisten werden, um zukünftiges Leid ein wenig zu lindern.	Wir können anfangen, umweltfreundlicher zu leben, wir können uns der Umweltbewegung anschließen, und wir können sogar Aktivisten sein, um das zukünftige Leid in gewissem Maße zu reduzieren.	We can live more environmentally friendly lives, we can join the environmental movement, and we can even become activists to alleviate future suffering a little.
This is just like symptomatic treatment in many cases. However, if we do not only want a temporary solution, then we should find the root of the problems, and we should deactivate them.	Das ist in vielen Fällen bloß wie eine symptomatische Behandlung. Wenn Sie allerdings nicht nur temporäre Lösungen wollen, dann sollten wir die Wurzel des Problems finden und behandeln.	Dies ist in vielen Fällen wie eine symptomatische Behandlung. Wenn wir jedoch nicht nur eine vorübergehende Lösung wollen, dann sollten wir die Wurzel der Probleme finden, und wir sollten sie deaktivieren.	This is in many cases just like symptomatic treatment. However, if you do not only want temporary solutions, then we should find and treat the root of the problem.
It is obvious enough that the world has changed much because of humankind's scientific and technological advancements, and problems have become greater because of overpopulation and mankind's extravagant lifestyle.	Es ist wirklich offensichtlich, dass sich die Welt aufgrund der wissenschaftlichen und technologischen Fortschritte der Menschheit sehr verändert hat und dass die Probleme aufgrund von Überbevölkerung und der extravaganten Lebensweise der Menschen schwerwiegender geworden sind.	Es ist offensichtlich genug, dass sich die Welt wegen des wissenschaftlichen und technologischen Fortschritts der Menschheit sehr verändert hat, und die Probleme sind wegen der Überbevölkerung und des extravaganten Lebensstils der Menschheit größer geworden.	It is really obvious that the world has changed a lot due to the scientific and technological advances of mankind and that the problems have become more serious due to overpopulation and the extravagant way of life of people.
After its adoption by Congress on July 4, a handwritten draft signed by the President of Congress John Hancock and the Secretary Charles Thomson was then sent a few blocks away to the printing shop of John Dunlap.	Nach seiner Verabschiedung durch den Kongress am 4. Juli wurde ein handschriftlicher, vom Kongresspräsidenten John Hancock und dem Sekretär Charles Thomson unterzeichneter Entwurf einige Blocks entfernt in die Druckerei von John Dunlap geschickt.	Nach der Verabschiedung durch den Kongress am 4. Juli wurde ein handschriftlicher Entwurf, der vom Präsidenten des Kongresses John Hancock und dem Sekretär Charles Thomson unterzeichnet wurde, dann ein paar Blocks entfernt in die Druckerei von John Dunlap geschickt.	After its adoption by Congress on July 4, a handwritten draft signed by Congress President John Hancock and Secretary Charles Thomson was sent to John Dunlap's printing plant some blocks away.
Through the night between 150 and 200 copies were made, now known as "Dunlap broadsides".	Im Laufe der Nacht wurden zwischen 150 und 200 Kopien angefertigt, die heute als „Dunlap broadsides“ bekannt sind.	Durch die Nacht wurden zwischen 150 und 200 Exemplare hergestellt, die heute als "Dunlap Broadsides" bekannt sind.	In the course of the night, between 150 and 200 copies were made, which are now known as "Dunlap broadsides".
The first public reading of the document was by John Nixon in the yard of Independence Hall on July 8.	Die erste öffentliche Lesung des Dokuments gab John Nixon im Hof der Independence Hall am 8. Juli.	Die erste öffentliche Lesung des Dokuments wurde von John Nixon im Hof der Independence Hall am 8. Juli.	The first public reading of the document was given by John Nixon at the Court of Independence Hall on 8 July.
One was sent to George Washington on July 6, who had it read to his troops in New York on July 9. A copy reached London on August 10.	Eine wurde am 6. Juli an George Washington geschickt, der es seinen Truppen in New York am 9. Juli vorlesen ließ. Eine Kopie erreichte London am 10. August.	Einer wurde am 6. Juli nach George Washington geschickt, der es seinen Truppen in New York am 9. Juli vorlesen ließ.Eine Kopie erreichte London am 10. August.	One was sent to George Washington on July 6th, who had it read to his troops in New York on July 9th. A copy reached London on August 10th.
The 25 Dunlap broadsides still known to exist are the oldest surviving copies of the document. The original handwritten copy has not survived.	Die 25 Dunlap-Breitseiten, die es noch gibt, sind die ältesten noch existierenden Kopien des Dokuments. Die Originalhandschrift hat die Zeiten nicht überdauert.	Die noch bekannten 25 Dunlap-Breitseiten sind die ältesten erhaltenen Kopien des Dokuments. Die ursprüngliche handschriftliche Kopie hat nicht überlebt.	The 25 Dunlap wide pages that still exist are the oldest still existing copies of the document. The original manuscript has not survived the times.
Many paleontologists today believe that one group of dinosaurs survived and is alive today. We call them birds.	Viele Paläontologen glauben heutzutage, dass es eine Gruppe von Dinosauriern gibt, die überlebt haben und heute noch leben. Wir nennen sie Vögel.	Viele Paläontologen glauben heute, dass eine Gruppe von Dinosauriern überlebt und lebt heute. Wir nennen sie Vögel.	Many paleontologists today believe that there is a group of dinosaurs that have survived and are still alive today. We call them birds.
Many people don't think about them as dinosaurs because they have feathers and can fly.	Viele sehen sie nicht als Dinosaurier an, weil sie Federn haben und fliegen können.	Viele Menschen denken nicht an sie als Dinosaurier, weil sie Federn haben und fliegen können.	Many do not regard them as dinosaurs because they have feathers and can fly.
But there are a lot of things about birds that still look like a dinosaur.	Doch viele Dinge an Vögeln sehen immer noch wie bei einem Dinosaurier aus.	Aber es gibt viele Dinge über Vögel, die immer noch wie ein Dinosaurier aussehen.	But many things about birds still look like dinosaurs.
They have feet with scales and claws, they lay eggs, and they walk on their two back legs like a T-Rex.	Sie haben Füße mit Schuppen und Krallen, legen Eier und laufen auf beiden Hinterbeinen wie ein Tyrannosaurus rex.	Sie haben Füße mit Schuppen und Krallen, legen Eier und laufen auf ihren beiden Hinterbeinen wie ein T-Rex.	They have feet with scales and claws, lay eggs and run on both hind legs like a Tyrannosaurus rex.
Virtually all computers in use today are based on the manipulation of information which is coded in the form of binary numbers.	Nahezu alle heutzutage genutzten Computer basieren auf der Verarbeitungen von Informationen, die in Form von Binärzahlen codiert sind.	Praktisch alle Computer, die heute in Gebrauch sind, basieren auf der Manipulation von Informationen, die in Form von binären Zahlen codiert werden.	Almost all computers used today are based on the processing of information encoded in the form of binary numbers.
A binary number can have only one of two values, i.e. 0 or 1, and these numbers are referred to as binary digits - or bits, to use computer jargon.	Eine binäre Zahl kann nur einen von zwei Werten haben, nämlich 0 oder 1, und diese Zahlen werden als Binärziffern bezeichnet - oder als Bits, um den Computerjargon zu gebrauchen.	Eine binäre Zahl kann nur einen von zwei Werten haben, d.h. 0 oder 1, und diese Zahlen werden als binäre Ziffern - oder Bits bezeichnet, um Computerjargon zu verwenden.	A binary number can have only one of two values, namely 0 or 1, and these numbers are called binary numbers - or bits to use the computer jargon.
Internal poisoning may not be immediately apparent. Symptoms, such as vomiting are sufficiently general that an immediate diagnosis cannot be made.	Eine innere Vergiftung lässt sich möglicherweise nicht sofort erkennen. Die Symptome, beispielsweise Erbrechen, sind so allgemein, dass man nicht sofort eine Diagnose stellen kann.	Interne Vergiftung kann nicht sofort offensichtlich sein. Symptome wie Erbrechen sind ausreichend allgemein, dass eine sofortige Diagnose nicht gemacht werden kann.	An internal poisoning may not be immediately apparent. Symptoms, such as vomiting, are so common that you cannot make a diagnosis immediately.
The best indication of internal poisoning may be the presence of an open container of medication or toxic household chemicals.	Das beste Anzeichen für eine Vergiftung durch Verschlucken kann das Vorhandensein eines offenen Behälters mit Medikamenten oder giftigen Haushaltschemikalien sein.	Der beste Hinweis auf eine interne Vergiftung kann das Vorhandensein eines offenen Behälters von Medikamenten oder giftigen Haushaltschemikalien sein.	The best sign of ingestion poisoning can be the presence of an open container containing medications or toxic household chemicals.
Check the label for specific first aid instructions for that specific poison.	Sehen Sie auf dem Etikett nach für spezifische Erste-Hilfe-Anweisungen für dieses spezielle Gift.	Prüfen Sie das Etikett für spezifische Erste-Hilfe-Anweisungen für dieses spezifische Gift.	Check the label for specific first aid instructions for this particular poison.
The term bug is used by entomologists in a formal sense for this group of insects.	Der Begriff „Wanze“ wird von Entomologen in einem formalen Sinn für diese Insektengruppe verwendet.	Der Begriff Bug wird von Entomologen in einem formalen Sinne für diese Gruppe von Insekten verwendet.	The term "tank" is used by entomologists in a formal sense for this insect group.
This term derives from ancient familiarity with Bed-bugs, which are insects highly adapted to parasitize humans.	Dieser Begriff leitet sich von der uralten Vertrautheit mit Bettwanzen ab. Das sind Insekten, die sehr anpassungsfähig darin sind, Menschen zu parasitieren.	Dieser Begriff leitet sich von der alten Vertrautheit mit Bed-Bugs ab, die Insekten sind, die sehr geeignet sind, Menschen zu parasitisieren.	This term derives from the ancient familiarity with bedbugs. These are insects that are very adaptable in parasiticizing people.
Both Assassin-bugs and Bed-bugs are nidicolous, adapted to living in nest or housing of their host.	Sowohl Raubwanzen wie auch Bettwanzen sind nidicol, d.h. angepasst daran im Nest oder der Behausung ihrer Wirte zu leben.	Sowohl Assassin-Bugs als auch Bed-Bugs sind Nidicolous, angepasst an das Leben in Nest oder Gehäuse ihres Wirts.	Both predatory bugs and bedbugs are nidicol, i.e. adapted to live in the nest or the dwelling of their hosts.
Across the United States of America, there are approximately 400,000 known cases of Multiple Sclerosis (MS), leaving it as the leading neurological disease in younger and middle aged adults.	In den Vereinigten Staaten von Amerika gibt es etwa 400.000 bekannte Fälle von Multipler Sklerose (MS), womit sie die am weitesten verbreitete neurologische Krankheit bei Erwachsenen jüngeren und mittleren Alters ist.	In den Vereinigten Staaten von Amerika gibt es rund 400.000 bekannte Fälle von Multipler Sklerose (MS), so dass es als die führende neurologische Erkrankung bei jüngeren und mittleren Erwachsenen.	In the United States, there are about 400,000 known cases of multiple sclerosis (MS), making it the most widespread neurological disease in adults of younger and middle age.
MS is a disease that affects the central nervous system, which is made up of the brain, the spinal cord and the optic nerve.	MS ist eine Krankheit, die das zentrale Nervensystem beeinträchtigt, das sich aus dem Gehirn, dem Rückenmark und dem Sehnerv zusammensetzt.	MS ist eine Krankheit, die das zentrale Nervensystem betrifft, das aus dem Gehirn, dem Rückenmark und dem Sehnerv besteht.	MS is a disease that affects the central nervous system consisting of the brain, spinal cord and optic nerve.
Research has found that females are two times more likely to have MS then males.	Untersuchungen haben ergeben, dass bei Frauen die Wahrscheinlichkeit, an MS zu erkranken, doppelt so hoch ist wie bei Männern.	Untersuchungen haben ergeben, dass Frauen zweimal häufiger MS haben als Männer.	Studies have shown that women are twice as likely to suffer from MS as men.
A couple may decide it is not in their best interest, or in the interest of their child, to raise a baby.	Ein Paar kann beschließen, dass es nicht in seinem eigenen Interesse oder im Interesse seines Kindes liegt, ein Baby großzuziehen.	Ein Paar kann entscheiden, dass es nicht im besten Interesse oder im Interesse seines Kindes ist, ein Baby großzuziehen.	A couple may decide that it is not in their own interest or in the interest of their child to raise a baby.
These couples may choose to make an adoption plan for their baby.	Diese Paare können sich für einen Adoptionsplan für ihr Baby entscheiden.	Diese Paare können sich entscheiden, einen Adoptionsplan für ihr Baby zu erstellen.	These couples can choose an adoption plan for their baby.
In an adoption, the birth parents terminate their parental rights so that another couple may parent the child.	Bei einer Adoption geben die leiblichen Eltern ihre Elternrechte auf, so dass ein anderes Paar die Elternschaft übernehmen kann.	In einer Adoption beenden die leiblichen Eltern ihre elterlichen Rechte, so dass ein anderes Paar das Kind erziehen kann.	In the case of adoption, the biological parents give up their parental rights, so that another couple can take over the parenthood.
Science’s main goal is to figure out the way the world works through the scientific method. This method in fact guides most scientific research.	Das Hauptziel der Wissenschaft ist es, mit Hilfe der wissenschaftlichen Methode herauszufinden, wie die Welt funktioniert. Diese Methode ist in der Tat die Basis der meisten wissenschaftlichen Untersuchungen.	Wissenschaft ist das Hauptziel, herauszufinden, wie die Welt funktioniert durch die wissenschaftliche Methode. Diese Methode in der Tat führt die meisten wissenschaftlichen Forschung.	The main objective of science is to use the scientific method to find out how the world works. Indeed, this method is the basis of most scientific studies.
It isn’t alone though, experimentation, and an experiment is a test that is used to eliminate one or more of the possible hypotheses, asking questions, and making observations also guide scientific research.	Es geht jedoch nicht nur um das Experimentieren, wobei ein Experiment ein Test ist, der dazu dient, eine oder mehrere der möglichen Hypothesen auszuschließen. Die wissenschaftliche Forschung wird auch durch das Stellen von Fragen und die Durchführung von Beobachtungen geleitet.	Es ist jedoch nicht allein, Experimentieren, und ein Experiment ist ein Test, der verwendet wird, um eine oder mehrere der möglichen Hypothesen zu beseitigen, Fragen zu stellen, und Beobachtungen führen auch wissenschaftliche Forschung.	However, it is not only about experimenting, where an experiment is a test which is used to exclude one or more of the possible hypotheses. Scientific research is also guided by the questioning and the execution of observations.
Naturalists and philosophers focused on classical texts and, in particular, on the Bible in Latin.	Naturwissenschaftler und Philosophen konzentrierten sich auf klassische Texte und dabei besonders auf die Bibel in lateinischer Sprache.	Naturforscher und Philosophen konzentrierten sich auf klassische Texte und insbesondere auf die Bibel in Latein.	Scientists and philosophers concentrated on classical texts, especially the Bible in Latin.
Accepted were Aristotle's views on all matters of science, including psychology.	Aristoteles' Ansichten zu allen Wissenschaftsfragen einschließlich der Psychologie waren anerkannt.	Akzeptiert wurden Aristoteles' Ansichten über alle Fragen der Wissenschaft, einschließlich Psychologie.	Aristotle's views on all science issues, including psychology, were accepted.
As knowledge of Greek declined, the West found itself cut off from its Greek philosophical and scientific roots.	Mit dem Verlust griechischer Sprachkenntnisse war der Westen von seinen philosophischen und wissenschaftlichen Wurzeln in Griechenland abgeschnitten.	Als die Kenntnisse des Griechischen nachließen, fand sich der Westen von seinen griechischen philosophischen und wissenschaftlichen Wurzeln abgeschnitten.	With the loss of Greek language skills, the West was cut off from its philosophical and scientific roots in Greece.
Many observed rhythms in physiology and behavior often crucially depend on the presence of endogenous cycles and their production through biological clocks.	Viele beobachtete Rhythmen in der Physiologie und dem Verhalten beruhen oftmals zum wesentlichen Teil auf der Anwesenheit körpereigener Zyklen und deren Produktion durch biologische Uhren.x	Viele beobachtete Rhythmen in Physiologie und Verhalten hängen oft entscheidend von der Anwesenheit endogener Zyklen und ihrer Produktion durch biologische Uhren ab.	Many observed rhythms in physiology and behaviour are often largely due to the presence of body-own cycles and their production by biological clocks.x
Periodic rhythms, which are not simply responses to external periodic cues, have been documented for most living beings, including bacteria, fungi, plants, and animals.	Von einem Zyklus bestimmte Verhaltensweisen, die nicht nur Reaktionen auf Zeichen von äußeren Zyklen sind, sind bei den meisten Lebewesen bekannt, auch bei Bakterien, Pilzen, Pflanzen und Tieren.	Für die meisten Lebewesen, darunter Bakterien, Pilze, Pflanzen und Tiere, wurden periodische Rhythmen dokumentiert, die nicht nur Reaktionen auf äußere periodische Stichworte sind.	Behaviors determined by a cycle, which are not only reactions to signs of external cycles, are known in most living beings, including bacteria, fungi, plants and animals.
Biological clocks are self sustaining oscillators which will continue a period of free-running cycling even in the absence of external cues.	Biologische Uhren sind selbsterhaltende Oszillatoren, die sogar in Abwesenheit externer Signale eine Zeitlang freischwingende Zyklen ausführen.	Biologische Uhren sind selbsttragende Oszillatoren, die eine Periode des freien Laufens des Fahrrads auch in Abwesenheit von externen Stichworten fortsetzen wird.	Biological clocks are self-preserving oscillators that perform free-swinging cycles even in the absence of external signals.
The Hershey and Chase experiment was one of the leading suggestions that DNA was a genetic material.	Das Hershey-Chase-Experiment war eines der maßgeblichen Indizien, dass DNA ein genetisches Material ist.	Das Hershey und Chase Experiment war einer der führenden Vorschläge, dass DNA ein genetisches Material war.	The Hershey Chase experiment was one of the major indications that DNA is a genetic material.
