"We now have 4-month-old mice that are non-diabetic that used to be diabetic," he added.	"Abbiamo topi di quattro mesi che prima erano diabetici e ora non lo sono più", ha aggiunto.	"Ora abbiamo topi di 4 mesi che non sono diabetici che un tempo erano diabetici," ha aggiunto.	"We have four-month-old mice who were diabetics and now they are no longer diabetics," he added.
Oliver Sacks, in his paper The President's Speech, indicated how people who are unable to understand speech because of brain damage are nevertheless able to assess sincerity accurately.	Nel suo saggio "Il discorso del Presidente", Oliver Sacks ha illustrato come persone incapaci di comprendere il linguaggio parlato a causa di danni cerebrali siano tuttavia in grado di valutare con precisione la sincerità.	Oliver Sacks, nel suo giornale Il discorso del Presidente, ha indicato come le persone che non sono in grado di capire il discorso a causa di danni cerebrali sono tuttavia in grado di valutare la sincerità con precisione.	In his essay "The President's Speech," Oliver Sacks illustrated how people unable to understand the language spoken because of brain damage are nevertheless able to accurately assess sincerity.
He even suggests that such abilities in interpreting human behavior may be shared by animals such as domestic dogs.	Sostiene addirittura che tali abilità nell’interpretare il comportamento umano possano essere condivise con gli animali, come ad esempio i cani domestici.	Egli suggerisce anche che tali abilità nell'interpretazione del comportamento umano possono essere condivise da animali come i cani domestici.	It even claims that such skills in interpreting human behavior can be shared with animals, such as domestic dogs.
Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed.	Nel XX secolo la ricerca ha dimostrato l'esistenza di due pool di variabilità genetica, ovvero variabilità nascosta e variabilità espressa.	La ricerca del XX secolo ha dimostrato che esistono due pool di variazioni genetiche: nascoste ed espresse.	In the 20th century, research demonstrated the existence of two pools of genetic variability, i.e. hidden variability and express variability.
Mutation adds new genetic variation, and selection removes it from the pool of expressed variation.	Con la mutazione si aggiunge una nuova variabilità genetica, con la selezione essa viene eliminata dal pool di variabilità espresse.	La mutazione aggiunge una nuova variazione genetica, e la selezione la rimuove dal pool di variazione espressa.	With the mutation a new genetic variability is added, with the selection it is eliminated from the pool of variability expressed.
Segregation and recombination shuffle variation back and forth between the two pools with each generation.	Generazione dopo generazione, segregazione e ricombinazione ridistribuiscono la variabilità avanti e indietro tra i due pool.	Segregazione e ricombinazione mescolano variazione avanti e indietro tra le due piscine con ogni generazione.	Generation after generation, segregation and recombination redistribute the variability back and forth between the two pools.
Out on the savanna, it is hard for a primate with a digestive system like that of humans to satisfy its amino-acid requirements from available plant resources.	Per un primate con un apparato digerente analogo a quello degli esseri umani è difficile soddisfare il proprio fabbisogno di amminoacidi con le risorse vegetali disponibili nella savana.	Sulla savana, è difficile per un primate con un sistema digestivo come quello degli esseri umani soddisfare le sue esigenze aminoacidiche dalle risorse vegetali disponibili.	For a primate with a digestive apparatus similar to that of human beings it is difficult to meet its own needs of amino acids with the plant resources available in the savannah.
Moreover, failure to do so has serious consequences: growth depression, malnutrition, and ultimately death.	Inoltre, la mancata realizzazione di tali attività ha gravi conseguenze: rallentamento della crescita, malnutrizione e, alla fine, anche la morte.	Inoltre, l'incapacità di farlo ha gravi conseguenze: depressione della crescita, malnutrizione e, in ultima analisi, morte.	Moreover, failure to carry out these activities has serious consequences: slowing down growth, malnutrition and, in the end, death.
The most readily accessible plant resources would have been the proteins accessible in leaves and legumes, but these are hard for primates like us to digest unless they are cooked.	Le risorse vegetali più facilmente accessibili sarebbero state le proteine presenti in foglie e legumi, ma per i primati come noi sono difficili da digerire, salvo che siano cotti.	Le risorse vegetali più facilmente accessibili sarebbero state le proteine accessibili nelle foglie e nei legumi, ma questi sono duri per i primati come noi da digerire a meno che non siano cotti.	The most easily accessible plant resources would have been the proteins present in leaves and legumes, but for primates like us they are difficult to digest, unless they are cooked.
In contrast, animal foods (ants, termites, eggs) not only are easily digestible, but they provide high-quantity proteins that contain all the essential amino acids.	Gli alimenti animali invece (come formiche, termiti, uova) non sono solamente facili da digerire, ma forniscono un'elevata quantità di proteine, contenenti tutti gli amminoacidi essenziali.	Al contrario, gli alimenti animali (agenti, termiti, uova) non solo sono facilmente digeribili, ma forniscono proteine ad alta quantità che contengono tutti gli aminoacidi essenziali.	Animal food instead (such as ants, termites, eggs) is not only easy to digest, but provides a high amount of protein, containing all essential amino acids.
All things considered, we should not be surprised if our own ancestors solved their "protein problem" in somewhat the same way that chimps on the savanna do today.	Alla luce di tutto ciò, non dovrebbe sorprendere il fatto che i nostri stessi antenati abbiano risolto il loro "problema proteico" in un certo senso come fanno oggi gli scimpanzé della savana.	Tutto sommato, non dovremmo stupirci se i nostri antenati risolvessero il loro "problema proteico" nello stesso modo che fanno gli scimpanzé sulla savana di oggi.	In light of all this, it should not be surprising that our own ancestors have solved their "protein problem" in a certain sense as the savannah chimpanzees do today.
Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).	L'interruzione del sonno è il processo di risveglio intenzionale che avviene durante il periodo di sonno normale, a cui fa seguito una ripresa del sonno (10–60 minuti più tardi).	L'interruzione del sonno è il processo di risveglio intenzionale durante il normale periodo di sonno e di addormentarsi poco tempo dopo (10.060 minuti).	Sleep interruption is the intentional awakening process that occurs during the normal sleep period, followed by a return to sleep (10:60 minutes later).
This can be easily done by using a relatively quiet alarm clock to bring you to consciousness without fully waking you.	Questo processo può essere facilmente messo in pratica usando una sveglia relativamente silenziosa per portarvi ad uno stato di coscienza, senza svegliarvi completamente.	Questo può essere fatto facilmente utilizzando una sveglia relativamente tranquilla per portarvi alla coscienza senza svegliarsi completamente.	This process can easily be put into practice by using a relatively silent alarm clock to bring you to a state of consciousness, without waking you up completely.
If you find yourself resetting the clock in your sleep, it can be placed on the other side of the room, forcing you to get out of bed to turn it off.	Qualora dovessi decidere di reimpostare l’orologio nel sonno, puoi metterlo dall’altra parte della stanza, così sarai costretto ad alzarti dal letto per spegnerlo.	Se ti ritrovi a risistemare l'orologio nel sonno, può essere posizionato dall'altra parte della stanza, costringendoti ad alzarti dal letto per spegnerlo.	If you decide to reset your watch in your sleep, you can put it across the room, so you'll have to get out of bed to turn it off.
Other biorhythm-based options involve drinking lots of fluid (particularly water or tea, a known diuretic) prior to sleep, forcing one to get up to urinate.	Altre opzioni incentrate sul bioritmo prevedono il consumo di molti liquidi prima di dormire (soprattutto acqua o tè, conosciuto per le sue proprietà diuretiche), che costringono ad alzarsi da letto per urinare.	Altre opzioni a base di bioritmo includono bere un sacco di liquido (in particolare acqua o tè, un diuretico noto) prima di dormire, costringendo uno a salire a urinare.	Other options focused on biorhythm include the consumption of many liquids before sleeping (especially water or tea, known for its diuretic properties), which force you to get up from bed to urinate.
The amount of inner peace a person possesses correlates oppositely to the amount of tension in one’s body and spirit.	Una persona gode di una pace interiore proporzionalmente opposta alla tensione esistente nel suo corpo e nel suo spirito.	La quantità di pace interiore che una persona possiede corrisponde in modo opposto alla quantità di tensione in un unico corpo e spirito.	A person enjoys an inner peace proportionally opposed to the tension existing in his body and spirit.
The lower the tension, the more positive the life force present. Every person has the potential to find absolute peace and contentment.	Minore è la tensione, più positiva è la forza vitale esistente. Ognuno di noi ha la capacità potenziale di trovare la pace e l'appagamento assoluti.	Più bassa è la tensione, più positiva è la forza vitale presente. Ogni persona ha il potenziale per trovare la pace assoluta e la soddisfazione.	Less is the tension, the more positive is the existing life force. Each of us has the potential to find absolute peace and fulfillment.
Everyone can achieve enlightenment. The only thing standing in the way of this goal is our own tension and negativity.	Tutti possono raggiungere l'illuminazione. Questo obiettivo è ostacolato solo dalla nostra tensione e dalla nostra negatività.	Tutti possono ottenere l'illuminazione. L'unica cosa che ostacola questo obiettivo è la nostra tensione e negatività.	Everyone can achieve enlightenment. This goal is hindered only by our tension and negativity.
The Tibetan Buddhism is based on the teachings of Buddha, but were extended by the mahayana path of love and by a lot of techniques from Indian Yoga.	Il buddismo tibetano è basato sugli insegnamenti del Buddha, ma è stato arricchito dal percorso d'amore del rito mahayano e da svariate tecniche dello yoga indiano.	Il buddismo tibetano si basa sugli insegnamenti del Buddha, ma sono stati estesi dal percorso mahayana di amore e da un sacco di tecniche da Yoga indiano.	Tibetan Buddhism is based on the teachings of Buddha, but it has been enriched by the path of love of the Mahayan rite and by various Indian yoga techniques.
In principle the Tibetan Buddhism is very simple. It consists of Kundalini Yoga, meditation and the path of all-embracing love.	In linea di massima, il buddismo tibetano è molto semplice. Ha fondamento nel Kundalini Yoga, nella meditazione e in un percorso di amore omnicomprensivo.	In linea di principio il Buddhismo tibetano è molto semplice. Consiste nel Kundalini Yoga, nella meditazione e nel cammino dell'amore che abbraccia tutto.	In principle, Tibetan Buddhism is very simple. It has foundation in Kundalini Yoga, in meditation and in an all-inclusive path of love.
With Kundalini Yoga the Kundalini energy (enlightenment energy) is awakened through yoga postures, breathing exercises, mantras and visualizations.	Il Kundalini Yoga attiva l'energia Kundalini (energia dell'illuminazione) mediante l'impiego di posizioni yoga, esercizi di respirazione, mantra e visualizzazioni.	Con Kundalini Yoga l'energia Kundalini (energia illuminante) viene risvegliata attraverso posture yoga, esercizi respiratori, mantra e visualizzazioni.	Kundalini Yoga activates Kundalini energy (enlightenment energy) by using yoga positions, breathing exercises, mantras and visualizations.
The center of Tibetan meditation is the Deity Yoga. Through the visualization of various deities the energy channels are cleaned, the chakras are activated and the enlightenment consciousness is created.	Il Deity Yoga è il fulcro della meditazione tibetana. Mediante la raffigurazione di varie divinità si puliscono i canali energetici, si attivano i chakra e si sviluppa la coscienza dell’illuminazione.	Il centro della meditazione tibetana è lo Yoga della Deità. Attraverso la visualizzazione di varie divinità si puliscono i canali energetici, si attivano i chakra e si crea la coscienza dell'illuminazione.	The Deity Yoga is the centerpiece of Tibetan meditation. Through the representation of various deities the energy channels are cleaned, the chakras are activated and the consciousness of enlightenment is developed.
Germany was a common enemy in World War 2, leading to cooperation between the USSR and USA. With the end of the war the clashes of system, process and culture led to the countries falling out.	La Germania è stata un nemico comune nella seconda guerra mondiale, portando alla collaborazione tra URSS e Stati Uniti. Con la fine della guerra, i conflitti di sistema, procedurali e culturali, hanno provocato la rottura tra i due Paesi.	La Germania fu un nemico comune nella seconda guerra mondiale, che portò alla cooperazione tra l'URSS e gli Stati Uniti. Con la fine della guerra gli scontri di sistema, processo e cultura portarono al crollo dei paesi.	Germany was a common enemy in the Second World War, leading to collaboration between the USSR and the United States. With the end of the war, system conflicts, procedural and cultural, caused the break between the two countries.
With two years of the end of the war, the former allies were now enemies and the Cold War began.	Trascorsi due anni dalla fine della guerra, gli alleati di un tempo erano diventati nemici; ebbe così inizio la Guerra fredda.	Con due anni di fine guerra, gli ex alleati erano ora nemici e la guerra fredda cominciò.	Two years after the end of the war, the allies of the past had become enemies; so the Cold War began.
It was to last for the next 40 years and would be fought for real, by proxy armies, on battlefields from Africa to Asia, in Afghanistan, Cuba and many other places.	Sarebbe durata per i prossimi 40 anni e sarebbe stata combattuta per davvero, da eserciti mercenari, nei campi di battaglia dall’Africa all’Asia, in Afghanistan, a Cuba e in molti altri paesi.	Doveva durare per i prossimi 40 anni e sarebbe stato combattuto per davvero, da eserciti procura, su campi di battaglia dall'Africa all'Asia, in Afghanistan, Cuba e molti altri luoghi.	It would have lasted for the next 40 years and would have been fought for real, by mercenary armies, in the battlefields from Africa to Asia, Afghanistan, Cuba and many other countries.
By September 17, 1939, the Polish defense was already broken, and the only hope was to retreat and reorganise along the Romanian bridgehead.	Il 17 settembre 1939, la difesa polacca era già stata sfondata; l'unica opzione era battere in ritirata e riorganizzarsi lungo la testa di ponte romena.	Il 17 settembre 1939, la difesa polacca era già rotta, e l'unica speranza era quella di ritirarsi e riorganizzarsi lungo la testa di ponte rumena.	On September 17, 1939, the Polish defense had already been raided; the only option was to retreat and reorganise along the head of the Romanian bridge.
However, these plans were rendered obsolete nearly overnight, when over 800,000 soldiers from the Soviet's Union Red Army entered and created the Belarussian and Ukrainian fronts after invading the eastern regions of Poland in violation of the Riga Peace Treaty, the Soviet-Polish Non-Aggression Pact, and other international treaties, both bilateral and multilateral.	Questi piani si dimostrarono tuttavia subito obsoleti, nel momento in cui più di 800.000 soldati dell'Armata Rossa sovietica avanzarono e crearono i fronti bielorusso e ucraino, dopo aver invaso le regioni orientali della Polonia, violando il trattato di pace di Riga, il patto di non aggressione sovietico-polacco e altri trattati internazionali, bilaterali e multilaterali.	Tuttavia, questi piani sono stati resi obsoleti quasi durante la notte, quando oltre 800.000 soldati dell'Unione Sovietica Esercito Rosso è entrato e ha creato i fronti bielorussi e ucraini dopo aver invaso le regioni orientali della Polonia in violazione del trattato di pace di Riga, del patto di non aggressione sovietico-polacca, e di altri trattati internazionali, sia bilaterali che multilaterali.	However, these plans were immediately obsolete, when more than 800,000 Soviet Red Army soldiers advanced and created the Belarusian and Ukrainian fronts, after invading the eastern regions of Poland, violating the Riga peace treaty, the Soviet-Polish non-aggression pact and other international, bilateral and multilateral treaties.
Using ships to transport goods is by far the most efficient way to move large amounts of people and goods across oceans.	Sfruttare le navi per il trasporto delle merci è sicuramente il modo più efficiente per muovere grandi volumi di persone e merci attraverso gli oceani.	L'utilizzo delle navi per il trasporto di merci è di gran lunga il modo più efficiente per spostare grandi quantità di persone e merci attraverso gli oceani.	Exploiting ships for freight transport is surely the most efficient way to move large volumes of people and goods across the oceans.
The job of navies has traditionally been to ensure that your country maintains the ability to move your people and goods, while at the same time, interfering with your enemy's ability to move his people and goods.	Da sempre il compito delle marine è quello di garantire al Paese la salvaguardia della propria capacità di spostare persone e merci, contrastando al contempo la stessa capacità dei nemici di movimentare le loro persone e le loro merci.	Il lavoro delle marine è stato tradizionalmente quello di garantire che il vostro paese mantiene la capacità di spostare la vostra gente e merci, mentre allo stesso tempo, interferendo con la capacità del vostro nemico di spostare la sua gente e merci.	The task of the marines has always been to guarantee to the country the safeguard of own ability to move people and goods, while at the same time contrasting the same ability of the enemies to move their people and their goods.
One of the most noteworthy recent examples of this was the North Atlantic campaign of WWII. The Americans were trying to move men and materials across the Atlantic Ocean to help Britain.	Uno degli esempi recenti a sostegno di questa teoria e maggiormente degno di nota è rappresentato dalla battaglia dell'Atlantico durante la seconda guerra mondiale. Durante la battaglia, gli americani cercavano di movimentare uomini e merci attraverso l'oceano Atlantico per supportare la Gran Bretagna.	Uno degli esempi più degni di nota è stato la campagna del Nord Atlantico della Seconda Guerra Mondiale. Gli americani stavano cercando di spostare uomini e materiali attraverso l'Oceano Atlantico per aiutare la Gran Bretagna.	One of the recent examples in support of this theory and most noteworthy is the battle of the Atlantic during World War II. During the battle, Americans tried to move men and goods across the Atlantic Ocean to support Britain.
At the same time, the German navy, using mainly U-boats, was trying to stop this traffic.	Al tempo stesso la marina militare tedesca, usando principalmente sottomarini, tentava di interrompere questo traffico.	Allo stesso tempo, la marina tedesca, utilizzando principalmente U-boats, stava cercando di fermare questo traffico.	At the same time, the German Navy, mainly using submarines, tried to stop this traffic.
Had the Allies failed, Germany probably would have been able to conquer Britain as it had the rest of Europe.	Se gli Alleati non ci fossero riusciti, probabilmente la Germania avrebbe avuto la possibilità di conquistare la Gran Bretagna, così come aveva fatto nel resto d'Europa.	Se gli Alleati avessero fallito, probabilmente la Germania avrebbe potuto conquistare la Gran Bretagna come aveva fatto il resto dell'Europa.	If the Allies did not succeed, Germany would probably have had the opportunity to conquer Britain, as it had done in the rest of Europe.
Goats seem to have been first domesticated roughly 10,000 years ago in the Zagros Mountains of Iran.	A quanto sembra, le capre furono addomesticate per la prima volta circa 10.000 anni fa sui monti Zagros, in Iran.	Le capre sembrano essere state prima addomesticate circa 10.000 anni fa sui monti Zagros dell'Iran.	Apparently, goats were first domesticated about 10,000 years ago in the Zagros Mountains in Iran.
Ancient cultures and tribes began to keep them for easy access to milk, hair, meat, and skins.	Iniziarono ad essere allevate dalle culture e dalle tribù dell'antichità per avere facilmente a disposizione latte, vello, carne e pelle.	Le antiche culture e tribù cominciarono a tenerle per un facile accesso al latte, ai capelli, alla carne e alle pelli.	They began to be bred by ancient cultures and tribes to easily have milk, fleece, flesh and skin available.
Domestic goats were generally kept in herds that wandered on hills or other grazing areas, often tended by goatherds who were frequently children or adolescents, similar to the more widely known shepherd. These methods of herding are still used today.	Le capre domestiche erano solitamente allevate in mandrie lasciate libere di muoversi sulle colline o in altre aree da pascolo, spesso accudite da caprai (simili ai pastori) che spesso erano bambini o adolescenti. Questi metodi di pastorizia sono ancora utilizzati al giorno d'oggi.	Le capre domestiche erano generalmente tenute in mandrie che vagavano sulle colline o in altre zone di pascolo, spesso curate da goatherds che erano spesso bambini o adolescenti, simile al pastore più conosciuto. Questi metodi di allevamento sono ancora oggi utilizzati.	Domestic goats were usually reared in herds left free to move on the hills or in other pasture areas, often cared for by goats (like shepherds) who were often children or adolescents. These methods of shepherding are still used nowadays.
Wagonways were built in England as early as the 16th Century.	Già nel XVI secolo in Inghilterra furono costruite le wagonway.	I carri sono stati costruiti in Inghilterra già nel XVI secolo.	Already in the 16th century, wagonways were built in England.
Although wagonways merely consisted of parallel planks of wood, they allowed horses pulling them to achieve greater speeds and pull larger loads than on the slightly more rough roads of the day.	Nonostante fossero formate semplicemente da assi in legno parallele, le wagonway, se confrontate con le strade leggermente più accidentate del periodo, permettevano ai cavalli che le percorrevano di raggiungere velocità maggiori e di spostare carichi più pesanti.	Anche se i carri erano semplicemente costituiti da assi parallele di legno, permisero ai cavalli di tirarli per raggiungere velocità maggiori e tirare carichi maggiori rispetto alle strade leggermente più ruvide del giorno.	Although they were formed simply by parallel wooden boards, the wagonways, when compared to the slightly rougher roads of the period, allowed the horses that crossed them to reach higher speeds and move heavier loads.
Crossties were introduced fairly early to hold the tracks in place. Gradually, however, it was realised that tracks would be more efficient if they had a stip of iron on the top.	Le traverse furono introdotte relativamente presto per mantenere in posizione i binari. Gradualmente, tuttavia, si comprese che i binari sarebbero stati più efficienti se avessero avuto in cima una barra di ferro.	Le crociate sono state introdotte abbastanza presto per tenere i binari in posizione. Gradualmente, tuttavia, si è capito che i binari sarebbero stati più efficienti se avessero una punta di ferro sulla parte superiore.	The sleepers were introduced relatively early to keep the tracks in place. Gradually, however, it was understood that the tracks would be more efficient if they had an iron bar at the top.
This became common practice, but the iron caused more wear on the wooden wheels of the wagons.	Diventò una pratica comune, anche se il ferro provocava una maggiore usura delle ruote di legno dei vagoni.	Questo divenne una pratica comune, ma il ferro provocò una maggiore usura sulle ruote di legno dei carri.	It became a common practice, even if iron caused a greater wear of the wooden wheels of the wagons.
Eventually, wooden wheels were replaced by iron wheels. In 1767, the first full-iron rails were introduced.	Infine, le ruote in legno lasciarono il posto a quelle in ferro. Nel 1767 fecero la loro comparsa le prime rotaie completamente in ferro.	Alla fine, le ruote in legno furono sostituite da ruote in ferro. Nel 1767, furono introdotte le prime rotaie full-ferro.	Finally, the wooden wheels gave way to those made of iron. In 1767 the first rails completely made of iron appeared.
The first known transportation was walking, humans began walking upright two million years ago with the emergence of Homo Erectus (meaning upright man).	Il primo mezzo di trasporto che l'uomo ha conosciuto sono state le gambe. Gli esseri umani hanno iniziato a camminare in posizione eretta due milioni di anni fa con la comparsa dell'Homo Erectus (che significa "uomo eretto").	Il primo trasporto conosciuto è stato camminare, gli esseri umani hanno iniziato a camminare eretti due milioni di anni fa con l'emergere di Homo Erectus (che significa uomo eretto).	The first means of transport that man knew were his legs. Human beings began to walk in a position erected two million years ago with the appearance of Homo Erectus (meaning "erect man").
Their predecessors, the Australopithecus did not walk upright as habitually.	Il suo predecessore, l'australopiteco, non camminava abitualmente eretto.	I loro predecessori, l'australopiteco, non camminavano dritti come abitualmente.	His predecessor, the Australian, did not usually walk upright.
Bipedal specializations are found in Australopithecus fossils from 4.2-3.9 million years ago, although Sahelanthropus may have walked on two legs as early as seven million years ago.	Segni di specializzazione per l'andatura bipede sono presenti nei fossili di Australopiteco risalenti a 4,2-3,9 milioni di anni fa, anche se è possibile che il Sahelanthropus camminasse su due gambe già sette milioni di anni fa.	Specializzazioni bipedi si trovano in Australopithecus fossili da 4.2-3,9 milioni di anni fa, anche se Sahelanthropus può aver camminato su due gambe già sette milioni di anni fa.	Signs of specialization for bipedal gait are present in the fossils of Australopithecus dating back to 4,2-3,9 million years ago, although it is possible that the Sahelanthropus walked on two legs already seven million years ago.
We can start living more friendly to the environment, we can join to the environmental movement, and we can even be activists in order to reduce the future suffering in some degree.	Per cercare di mitigare in qualche misura le sofferenze future possiamo iniziare ad adottare stili di vita più rispettosi dell'ambiente, possiamo aderire al movimento ambientalista e anche fare attivismo.	Possiamo iniziare a vivere più amichevoli con l'ambiente, possiamo unirci al movimento ambientale, e possiamo anche essere attivisti al fine di ridurre in qualche modo le sofferenze future.	To try to mitigate future suffering to some extent we can start adopting more environmentally friendly lifestyles, we can join the environmental movement and also engage in activism.
This is just like symptomatic treatment in many cases. However, if we do not only want a temporary solution, then we should find the root of the problems, and we should deactivate them.	In molti casi questo funziona solo come un trattamento sintomatico. Se invece non vogliamo solo una soluzione temporanea, dovremmo trovare la causa ultima dei problemi e disattivarla.	In molti casi si tratta di un trattamento sintomatico; tuttavia, se non vogliamo solo una soluzione temporanea, dovremmo trovare la radice dei problemi e disattivarli.	In many cases this only works as a symptomatic treatment. If instead we do not want only a temporary solution, we should find the ultimate cause of the problems and disable it.
It is obvious enough that the world has changed much because of humankind's scientific and technological advancements, and problems have become greater because of overpopulation and mankind's extravagant lifestyle.	È abbastanza evidente che il mondo è molto cambiato per via dei progressi scientifici e tecnologici dell'umanità, mentre i problemi sono aumentati a causa del sovrappopolamento e dello stravagante stile di vita degli esseri umani.	E' abbastanza evidente che il mondo è cambiato molto a causa dei progressi scientifici e tecnologici dell'umanità, e i problemi sono diventati più grandi a causa della sovrappopolazione e dello stravagante stile di vita dell'umanità.	It is quite evident that the world has changed a lot because of mankind's scientific and technological progress, while the problems have increased due to the overpopulation and extravagant lifestyle of humans.
After its adoption by Congress on July 4, a handwritten draft signed by the President of Congress John Hancock and the Secretary Charles Thomson was then sent a few blocks away to the printing shop of John Dunlap.	Dopo che il Congresso la adottò il 4 luglio, una bozza manoscritta firmata dal Presidente del Congresso John Hancock e dal segretario Charles Thomson fu poi inviata alla tipografia di John Dunlap a pochi isolati di distanza.	Dopo la sua adozione da parte del Congresso il 4 luglio, una bozza scritta a mano firmata dal Presidente del Congresso John Hancock e dal Segretario Charles Thomson fu poi inviata a pochi isolati dalla tipografia di John Dunlap.	After the Congress adopted it on 4 July, a manuscript draft signed by Congress President John Hancock and Secretary Charles Thomson was then sent to John Dunlap's printery a few blocks away.
Through the night between 150 and 200 copies were made, now known as "Dunlap broadsides".	Nella notte furono prodotte tra le 150 e le 200 copie, oggi note con il nome di "I manifesti di Dunlap".	Durante la notte tra 150 e 200 copie sono state fatte, ora noto come "Dunlap broadsides."	In the night they were produced between 150 and 200 copies, today known as "The Dunlap Posters."
The first public reading of the document was by John Nixon in the yard of Independence Hall on July 8.	Il documento venne letto pubblicamente per la prima volta l'8 luglio nel cortile dell'Independence Hall e l'incarico fu affidato a John Nixon.	La prima lettura pubblica del documento è stata di John Nixon nel cortile di Independence Hall l'8 luglio.	The document was read publicly for the first time on July 8 in the courtyard of Independence Hall and was commissioned by John Nixon.
One was sent to George Washington on July 6, who had it read to his troops in New York on July 9. A copy reached London on August 10.	Una fu spedita a George Washington il 6 luglio, che la fece leggere alle sue truppe di stanza a New York il 9 luglio, mentre una copia giunse a Londra il 10 agosto.	Uno fu inviato a George Washington il 6 luglio, che lo fece leggere alle sue truppe a New York il 9 luglio. Una copia raggiunse Londra il 10 agosto.	One was sent to George Washington on July 6, which had its troops stationed in New York on July 9, while a copy arrived in London on August 10.
The 25 Dunlap broadsides still known to exist are the oldest surviving copies of the document. The original handwritten copy has not survived.	Le 25 bordate di Dunlap tuttora note sono le copie esistenti più antiche del documento. Il manoscritto originale è andato perduto.	I 25 lati Dunlap ancora noti per esistere sono le più antiche copie sopravvissute del documento. La copia originale scritta a mano non è sopravvissuta.	The 25 borders of Dunlap still known are the oldest existing copies of the document. The original manuscript has been lost.
Many paleontologists today believe that one group of dinosaurs survived and is alive today. We call them birds.	Secondo molti paleontologi di oggi una categoria di dinosauri è sopravvissuta ed è ancora viva. Sono quelli che chiamiamo uccelli.	Molti paleontologi oggi credono che un gruppo di dinosauri sia sopravvissuto ed è vivo oggi. Noi li chiamiamo uccelli.	According to many paleontologists today a category of dinosaurs has survived and is still alive. They are what we call birds.
Many people don't think about them as dinosaurs because they have feathers and can fly.	Molti tendono a non considerarli dinosauri a causa delle piume e della loro capacità di volare.	Molte persone non pensano a loro come dinosauri perché hanno piume e possono volare.	Many tend not to consider them dinosaurs because of feathers and their ability to fly.
But there are a lot of things about birds that still look like a dinosaur.	Eppure gli uccelli hanno molte caratteristiche che li accomunano ai dinosauri.	Ma ci sono un sacco di cose sugli uccelli che sembrano ancora un dinosauro.	Yet birds have many characteristics that unite them with dinosaurs.
They have feet with scales and claws, they lay eggs, and they walk on their two back legs like a T-Rex.	Come il T-Rex, sono dotati di piedi con squame e artigli, depongono le uova e camminano sulle due zampe posteriori.	Hanno piedi con squame e artigli, depongono uova, e camminano sulle loro due zampe posteriori come un T-Rex.	Like the T-Rex, they are equipped with feet with scales and claws, lay eggs and walk on the two hind legs.
Virtually all computers in use today are based on the manipulation of information which is coded in the form of binary numbers.	In definitiva, la manipolazione di informazioni codificate sotto forma di numeri binari è alla base di tutti i computer utilizzati attualmente.	Praticamente tutti i computer in uso oggi si basano sulla manipolazione di informazioni codificate sotto forma di numeri binari.	Ultimately, manipulation of encoded information in the form of binary numbers is the basis of all computers currently used.
A binary number can have only one of two values, i.e. 0 or 1, and these numbers are referred to as binary digits - or bits, to use computer jargon.	Un numero binario può avere solo uno dei due valori, ovvero 0 o 1, e nel linguaggio tecnico informatico questi numeri sono chiamati cifre binarie o bit.	Un numero binario può avere solo uno dei due valori, cioè 0 o 1, e questi numeri sono indicati come cifre binarie - o bit, per usare il gergo del computer.	A binary number can have only one of two values, i.e. 0 or 1, and in computer technical language these numbers are called binary digits or bits.
Internal poisoning may not be immediately apparent. Symptoms, such as vomiting are sufficiently general that an immediate diagnosis cannot be made.	L'avvelenamento interno potrebbe non essere da subito evidente. I suoi sintomi, tra cui il vomito, sono molto generici, tanto da rendere impossibile una diagnosi immediata.	L'avvelenamento interno può non essere immediatamente evidente. I sintomi, come il vomito sono sufficientemente generali che una diagnosi immediata non può essere fatta.	The internal poisoning may not be evident immediately. Its symptoms, including vomiting, are very generic, so that an immediate diagnosis is impossible.
The best indication of internal poisoning may be the presence of an open container of medication or toxic household chemicals.	La principale indicazione di avvelenamento interno potrebbe essere la presenza in casa di un contenitore di farmaci o di sostanze chimiche nocive aperto.	La migliore indicazione di avvelenamento interno può essere la presenza di un contenitore aperto di farmaci o prodotti chimici tossici per la casa.	The main indication of internal poisoning could be the presence in the home of a container of drugs or open harmful chemicals.
Check the label for specific first aid instructions for that specific poison.	Verificare se sull'etichetta sono presenti istruzioni di primo soccorso relative a quel veleno specifico.	Controllare l'etichetta per specifiche istruzioni di primo soccorso per quel veleno specifico.	Check if there are first aid instructions for that specific poison on the label.
The term bug is used by entomologists in a formal sense for this group of insects.	Il termine acaro è usato formalmente dagli entomologi per questo gruppo di insetti.	Il termine bug è usato dagli entomologi in senso formale per questo gruppo di insetti.	The term mite is formally used by entomologists for this group of insects.
This term derives from ancient familiarity with Bed-bugs, which are insects highly adapted to parasitize humans.	Il termine proviene dalla familiarità in tempi antichi con le cimici dei letti, insetti che si sono fortemente adattati a diventare parassiti dell'uomo.	Questo termine deriva dall'antica familiarità con gli insetti da letto, che sono insetti altamente adattati a parassitizzare gli esseri umani.	The term comes from the familiarity in ancient times with the bedbugs of the beds, insects that have strongly adapted to become man's parasites.
