"We now have 4-month-old mice that are non-diabetic that used to be diabetic," he added.	«Actualmente, tenemos ratones de cuatro meses de edad que antes solían ser diabéticos y que ya no lo son», agregó.	"Ahora tenemos ratones de 4 meses que no son diabéticos que solían ser diabéticos", agregó.	"Currently, we have four-month-old mice who used to be diabetic and who are no longer diabetic," he added.
Italy's national football, along with German national football team is the second most successful team in the world and were the FIFA World Cup champions in 2006.	El conjunto nacional de fútbol italiano, junto con el seleccionado de Alemania, es el segundo equipo con más triunfos del mundo y obtuvo la Copa Mundial de la FIFA en 2006.	El fútbol nacional de Italia, junto con la selección alemana de fútbol es el segundo equipo más exitoso del mundo y fueron los campeones de la Copa del Mundo de la FIFA en 2006.	The Italian national football team, together with the German team, is the second most successful team in the world and won the FIFA World Cup in 2006.
Popular sports include football, basketball, volleyball, water-polo, fencing, rugby, cycling, ice hockey, roller hockey and F1 motor racing.	Entre los deportes que más se practican están el fútbol, el baloncesto, el voleibol, el waterpolo, la esgrima, el rugby, el ciclismo, el jóquey sobre hielo, el jóquey sobre patines y las carreras d Fórmula 1.	Los deportes populares incluyen fútbol, baloncesto, voleibol, polo acuático, esgrima, rugby, ciclismo, hockey sobre hielo, hockey sobre rodillos y carreras de automovilismo F1.	Among the sports that are most practiced are football, basketball, volleyball, water polo, fencing, rugby, cycling, ice-jequey, joquey on skates and Formula 1 races.
Winter sports are most popular in the Northern regions, with Italians competing in international games and Olympic events.	Los deportes de invierno cuentan con más popularidad en las zonas de norte, con atletas que participan en torneos internacionales y eventos olímpicos.	Los deportes de invierno son más populares en las regiones del norte, con italianos compitiendo en juegos internacionales y eventos olímpicos.	Winter sports are more popular in northern areas, with athletes participating in international tournaments and Olympic events.
Japans holds nearly 7,000 islands (the biggest being Honshu), making Japan the 7th largest island in the world!	En Japón existen cerca de 7000 islas (la de mayor tamaño es Honshu), lo que lo vuelve el séptimo archipiélago más grande del globo.	Japón tiene cerca de 7.000 islas (la más grande es Honshu), haciendo de Japón la séptima isla más grande del mundo!	In Japan there are about 7000 islands (the largest is Honshu), making it the seventh largest archipelago in the globe.
Due to the cluster/group of islands Japan has, Japan is often referred to, on a geographical stance, as an "archipelago"	Debido al conglomerado/grupo de islas que contiene, se suele hacer referencia a Japón como un «archipiélago», desde un punto de vista geográfico.	Debido a la agrupación/grupo de islas que tiene Japón, Japón es a menudo referido, en una posición geográfica, como un "archipiélago"	Because of the conglomerate/group of islands it contains, Japan is often referred to as a "archipelago" from a geographical point of view.
Taiwan beginning start way back in 15th century where European sailors passing by record the island’s name as Ilha Formosa, or beautiful island.	La historia de Taiwán data del siglo XV, cuando los marineros de Europa que navegaban por el lugar registraron el nombre de la isla como Ilha Formosa, esto es, isla hermosa.	Taiwán comienza a empezar en el siglo XV, donde los marineros europeos que pasan por el registro del nombre de la isla como Ilha Formosa, o hermosa isla.	The history of Taiwan dates back to the 15th century, when the sailors of Europe who sailed the place recorded the name of the island as Ilha Formosa, that is, beautiful island.
In 1624,Dutch East India Company establishes a base in southwestern Taiwan, initiating a transformation in aboriginal grain production practices and employing Chinese laborers to work on its rice and sugar plantations.	El establecimiento, en 1624, por la Compañía Holandesa de las Indias Orientales, de una base en el suroeste taiwanés, dio inicio a una transformación en el método aborigen de producción de granos, con el empleo de mano de obra china para trabajar en sus plantaciones de arroz y azúcar.	En 1624, la Compañía holandesa de las Indias Orientales establece una base en el suroeste de Taiwán, iniciando una transformación en las prácticas de producción de granos aborígenes y empleando trabajadores chinos para trabajar en sus plantaciones de arroz y azúcar.	The establishment, in 1624, by the Dutch East India Company, of a base in southwestern Taiwan, started a transformation into the Aboriginal method of grain production, with the use of Chinese labour to work on its rice and sugar plantations.
In 1683, Qing dynasty (1644-1912) forces take control of Taiwan’s western and northern coastal areas and declared Taiwan as a province of the Qing Empire in 1885.	El ejército de la dinastía Qing (1644-1912) tomó el control de la región litoral nórdica y occidental de Taiwán en 1683 y declaró a esta última como provincia dependiente del Imperio Qing en 1885.	En 1683, las fuerzas de la dinastía Qing (1644-1912) tomaron el control de las zonas costeras occidentales y septentrionales de Taiwán y declararon a Taiwán provincia del Imperio Qing en 1885.	The army of the Qing dynasty (1644-1912) took control of the northern and western coastal region of Taiwan in 1683 and declared the latter as a province dependent on the Qing Empire in 1885.
In 1895, after defeat in the First Sino-Japanese War (1894-1895), the Qing government signs the Treaty of Shimonoseki, by which it cedes sovereignty over Taiwan to Japan, which rules the island until 1945.	En 1895, luego de haber sido vencida durante la Primera Guerra Sino-japonesa, (1894-1895), el gobierno de Qing adhiere al tratado de Shimonoseki, a través del cual cede la soberanía de Taiwán a Japón, quien conserva su control sobre la isla hasta 1945.	En 1895, después de la derrota en la Primera Guerra Sino-Japonesa (1894-1895), el gobierno de Qing firma el Tratado de Shimonoseki, por el cual cede la soberanía sobre Taiwán a Japón, que gobierna la isla hasta 1945.	In 1895, after having been defeated during the First Sino-Japanese War, (1894-1895), the Qing government adheres to the Shimonoseki treaty, through which it cedes Taiwan's sovereignty to Japan, which retains its control over the island until 1945.
Machu Picchu consist of three main structures, namely Intihuatana, the Temple of the Sun, and the Room of the Three Windows.	Machu Picchu cuenta con tres construcciones capitales: Intihuatana, el Templo del Sol y el de las Tres Ventanas.	Machu Picchu consta de tres estructuras principales, a saber, Intihuatana, el Templo del Sol, y la Sala de las Tres Ventanas.	Machu Picchu has three capital buildings: Intihuatana, the Temple of the Sun and the Temple of the Three Windows.
Most of the buildings on the edges of the complex have been rebuilt in order to give tourists a better idea of how they originally appeared.	Se ha reconstruido la mayor parte de los edificios en los extremos del complejo con el fin de que los turistas puedan visualizar cómo lucían originalmente.	La mayoría de los edificios en los bordes del complejo han sido reconstruidos para dar a los turistas una mejor idea de cómo aparecieron originalmente.	Most of the buildings at the ends of the complex have been reconstructed so that tourists can visualize how they originally looked.
By 1976, thirty percent of Machu Picchu had been restored and restoration continues till today.	Hacia 1976 ya se había restaurado el treinta por ciento del Machu Picchu y los trabajos continúan en la actualidad.	En 1976, el treinta por ciento de Machu Picchu había sido restaurado y la restauración continúa hasta hoy.	By 1976, thirty percent of the Machu Picchu had already been restored and work continues today.
For example, the most common still image photography format in the world is 35mm, which was the dominant film size at the close of the analog film era.	Para ejemplificar, el formato de fotografía de imagen fija más habitual a nivel global es el de 35 mm, que fue el tamaño de película más utilizado hacia el final de la era de las películas analógicas.	Por ejemplo, el formato de fotografía de imagen todavía más común en el mundo es de 35 mm, que era el tamaño de película dominante en el cierre de la era del cine analógico.	To illustrate, the most common fixed image photography format at the global level is 35 mm, which was the most widely used film size towards the end of the analog film era.
It is still produced today, but more importantly its aspect ratio has been inherited by digital camera image sensor formats.	Hoy en día se sigue produciendo, pero lo más importante es que su relación dimensional se trasladó a los formatos de sensor de imagen de las cámaras digitales.	Todavía se produce hoy en día, pero lo más importante es que su relación de aspecto ha sido heredada por los formatos de sensor de imagen de cámara digital.	Today it is still produced, but the most important thing is that its dimensional relationship was moved to the image sensor formats of digital cameras.
The 35mm format is actually, somewhat confusingly, 36mm in width by 24mm in height.	En verdad, el formato de 35 mm es algo confuso, ya que sus medidas son 36 mm de anchura por 24 mm de alto.	El formato de 35 mm es en realidad, algo confuso, 36 mm de ancho por 24 mm de altura.	Indeed, the 35 mm format is somewhat confusing, as its measurements are 36 mm wide by 24 mm high.
The aspect ratio of this format (dividing by twelve to obtain the simplest whole-number ratio) is therefore said to be 3:2.	Por ello se dice que la relación dimensional de este formato (dividir por doce a fin de calcular la razón de números enteros más sencilla) equivale a 3:2.	La relación de aspecto de este formato (dividido por doce para obtener la relación número entero más simple) se dice, por lo tanto, que es 3:2.	Therefore it is said that the dimensional relation of this format (dividing by twelve in order to calculate the simplest integer ratio) is equal to 3:2.
Many common formats (APS family of formats, for example) are equal to or closely approximate this aspect ratio.	Muchos formatos típicos (verbigracia, el grupo de formatos APS) son iguales o se asemejan mucho a esta relación de aspecto.	Muchos formatos comunes (familia APS de formatos, por ejemplo) son iguales o se aproximan estrechamente a esta relación de aspecto.	Many typical formats (verbigrace, APS format group) are the same or closely resemble this aspect ratio.
The much-abused and often-ridiculed rule of thirds is a simple guideline creating dynamism while keeping a measure of order in an image.	La regla de los tercios, que ha sido objeto de constantes burlas y muchas veces ridiculizada, es una pauta sencilla que genera dinamismo a la vez que permite dar cierto orden a las imágenes.	La muy abusada y a menudo ridiculizada regla de los terceros es una simple directriz que crea dinamismo mientras mantiene una medida de orden en una imagen.	The rule of the thirds, which has been the subject of constant mockery and often ridiculed, is a simple pattern that generates dynamism while at the same time allowing some sort of order to be given to the images.
It states that the most effective place for the main subject is at the intersection of lines dividing the image into thirds vertically and horizontally (see example).	Indica que la posición más efectiva donde colocar el objeto central es la intersección que se forma entre las líneas horizontales y verticales que dividen la imagen en tercios (ver ejemplo).	Afirma que el lugar más efectivo para el sujeto principal es la intersección de líneas que dividen la imagen en tercios vertical y horizontalmente (ver ejemplo).	It indicates that the most effective position where to place the central object is the intersection that forms between horizontal and vertical lines that divide the image into thirds (see example).
During this period of European history, the Catholic Church, which had become rich and powerful, came under scrutiny.	Durante esta fase de la historia de Europa, la iglesia católica, que había acumulado riqueza y poder, fue cuestionada.	Durante este período de la historia europea, la Iglesia Católica, que se había vuelto rica y poderosa, fue objeto de escrutinio.	During this phase of European history, the Catholic Church, which had accumulated wealth and power, was questioned.
For over a thousand years the Christian religion had bound European states together despite differences in language and customs. I	Por más de un milenio, el cristianismo había logrado unir a los estados europeos no obstante sus diferentes lenguas y costumbres.	Durante más de mil años, la religión cristiana había unido a los Estados europeos a pesar de las diferencias de idioma y costumbres.	For more than a millennium, Christianity had managed to unite European states despite their different languages and customs.
Its all-pervading power affected everyone from king to commoner.	Su poder, presente por doquier, afectó a todos, desde el monarca hasta la plebe.	Su poder penetrante afectó a todos, desde el rey hasta el plebeyo.	His power, present everywhere, affected everyone, from the monarch to the plebe.
One of the main Christian tenets is that wealth should be used to alleviate suffering and poverty and that the monetary funds of the church are there specifically for that reason.	Uno de los principios más importantes del cristianismo es que la riqueza debe utilizarse para aliviar el sufrimiento y la pobreza, y que los fondos de la iglesia se reservan para esa función específica.	Uno de los principios cristianos principales es que la riqueza debe ser utilizada para aliviar el sufrimiento y la pobreza y que los fondos monetarios de la iglesia están allí específicamente por esa razón.	One of the most important principles of Christianity is that wealth must be used to alleviate suffering and poverty, and that church funds are reserved for that specific function.
The central authority of the church had been in Rome for over a thousand years and this concentration of power and money led many to question whether this tenet was being met.	La cúpula central de la iglesia había permanecido en Roma por más de un milenio y esta concentración de poder y dinero hizo que muchos se preguntaran si este principio se estaba respetando.	La autoridad central de la iglesia había estado en Roma por más de mil años y esta concentración de poder y dinero llevó a muchos a cuestionar si este principio se estaba cumpliendo.	The central dome of the church had remained in Rome for more than a millennium and this concentration of power and money caused many to wonder if this principle was being respected.
Soon after the outbreak of hostilities, Britain initiated a naval blockade of Germany.	Al poco tiempo de desatarse las hostilidades, los británicos comenzaron un bloqueo naval a Alemania.	Poco después del estallido de las hostilidades, Gran Bretaña inició un bloqueo naval de Alemania.	Shortly after the outbreak of hostilities, the British began a naval blockade of Germany.
The strategy proved effective, cutting off vital military and civilian supplies, although this blockade violated generally accepted international law codified by several international agreements of the past two centuries.	Si bien la estrategia, que involucró la interrupción de suministros militares y civiles vitales, fue exitosa, dicha medida violó el derecho internacional generalizadamente reconocido y contemplado en varios acuerdos internacionales de los dos últimos siglos.	La estrategia demostró ser eficaz, cortando suministros militares y civiles vitales, aunque este bloqueo violó el derecho internacional generalmente aceptado codificado por varios acuerdos internacionales de los últimos dos siglos.	While the strategy, which involved the interruption of vital military and civilian supplies, was successful, it violated widely recognized international law and contemplated in several international agreements of the last two centuries.
Britain mined international waters to prevent any ships from entering entire sections of ocean, causing danger to even neutral ships.	Gran Bretaña extrajo aguas internacionales en sectores completos del océano para bloquear el ingreso de los barcos, poniendo en riesgo, incluso, a embarcaciones neutrales.	Gran Bretaña minado aguas internacionales para evitar que cualquier barco entrara en secciones enteras del océano, causando peligro incluso a los buques neutrales.	Great Britain extracted international waters in entire sectors of the ocean to block the entry of ships, putting at risk, even neutral boats.
Since there was limited response to this tactic, Germany expected a similar response to its unrestricted submarine warfare.	Al haber recibido una respuesta reducida contra esta táctica, Alemania pensaba encontrarse con una reacción similar frente a su guerra submarina irrestricta.	Como la respuesta a esta táctica era limitada, Alemania esperaba una respuesta similar a su guerra submarina sin restricciones.	Having received a reduced response against this tactic, Germany intended to encounter a similar reaction to its unrestricted underwater warfare.
During the 1920s, the prevailing attitudes of most citizens and nations was that of pacifism and isolation.	A lo largo de la década de 1920, la actitud adoptada por la mayor parte de los ciudadanos y de las naciones fue la del pacifismo y el aislamiento.	Durante la década de 1920, las actitudes prevalecientes de la mayoría de los ciudadanos y naciones fueron el pacifismo y el aislamiento.	Throughout the 1920s, the attitude adopted by most citizens and nations was that of pacifism and isolation.
After seeing the horrors and atrocities of war during World War I, nations desired to avoid such a situation again in the future.	Tras ver los horrores y las atrocidades ocurridos durante la Primera Guerra Mundial, los países querían evitar que dicha situación se repita en el futuro.	Después de ver los horrores y atrocidades de la guerra durante la Primera Guerra Mundial, las naciones deseaban evitar esta situación de nuevo en el futuro.	After seeing the horrors and atrocities that took place during the First World War, countries wanted to prevent this situation from recurring in the future.
In 1884, Tesla moved to the United States of America to accept a job with the Edison Company in New York City.	En 1884, Tesla se mudó a EE. UU. a fin de tomar un empleo en la compañía Edison en Nueva York.	En 1884, Tesla se trasladó a los Estados Unidos de América para aceptar un trabajo con la Edison Company en la ciudad de Nueva York.	In 1884, Tesla moved to the U.S. to take a job at the Edison company in New York.
He arrived in the US with 4 cents to his name, a book of poetry, and a letter of recommendation from Charles Batchelor (his manager in his previous job) to Thomas Edison.	Arribó en los EE. UU. con 4 centavos, un libro de poemas y una nota de recomendación hecha por Charles Batchelor (su gerente en su último empleo) y dirigida a Thomas Edison.	Llegó a los Estados Unidos con 4 centavos a su nombre, un libro de poesía, y una carta de recomendación de Charles Batchelor (su gerente en su trabajo anterior) a Thomas Edison.	He arrived in the United States with 4 cents, a book of poems and a note of recommendation made by Charles Batchelor (his manager at his last job) and addressed to Thomas Edison.
Ancient China had a unique way of showing different time periods; each stage of China or each family that was in power was a distinctive dynasty.	La antigua China tenía una forma única de delimitar los diferentes períodos de tiempo. Cada etapa o cada familia en el poder constituía una dinastía distinta.	La China antigua tenía una manera única de mostrar diferentes períodos de tiempo; cada etapa de China o cada familia que estaba en el poder era una dinastía distintiva.	Ancient China had a unique way of delimiting the different periods of time. Each stage or family in power constituted a different dynasty.
Also between each dynasty was an unstable age of divided provinces. The best-known of these periods was the Three Kingdoms epoch taking place for 60 years between the Han and the Jin Dynasty.	Entre cada dinastía, existió también un período de inestabilidad, con provincias divididas. El más conocido fue el de los Tres Reinos, que se desarrolló a lo largo de 60 años, entre la dinastía Hhan y la Jin.	También entre cada dinastía había una era inestable de provincias divididas. El más conocido de estos períodos fue la época de los tres reinos que tuvo lugar durante 60 años entre la dinastía Han y la dinastía Jin.	Between each dynasty, there was also a period of instability, with divided provinces. The best known was that of the Three Kingdoms, which developed over 60 years, between the Hhan dynasty and the Jin.
During these periods fierce warfare took place between many nobles fighting for the throne.	Durante estas etapas, se desató una cruenta guerra entre muchos nobles que se disputaban el trono.	Durante estos períodos tuvo lugar una feroz guerra entre muchos nobles que luchaban por el trono.	During these stages, a bloody war broke out among many nobles who disputed the throne.
The Three Kingdoms was one of the bloodiest eras in Ancient China’s history thousands of people died fighting to sit in the highest seat in the grand palace at Xi’an.	Uno de los periodos más sanguinarios de la historia de Antigua China fue el de Los Tres Reinos, donde miles de personas murieron en una lucha por ocupar el trono del gran palacio en Xi'an.	Los Tres Reinos fueron una de las épocas más sangrientas de la historia de la antigua China. Miles de personas murieron luchando por sentarse en el asiento más alto del gran palacio de Xian.	One of the bloodiest periods in ancient China's history was that of the Three Kingdoms, where thousands of people died in a struggle to occupy the throne of the great palace in Xi'an.
There are a lot of social and political effects such as the use of metric system, a shift from absolutism to republicanism, nationalism and the belief the country belongs to the people not to one sole ruler.	Son muchas sus consecuencias políticas y sociales, tales como el uso del sistema métrico, el desplazamiento del absolutismo hacia el republicanismo, el nacionalismo y la convicción de que el país pertenece al pueblo, y no a un solo soberano.	Hay muchos efectos sociales y políticos, como el uso del sistema métrico, el cambio del absolutismo al republicanismo, el nacionalismo y la creencia de que el país pertenece al pueblo y no a un solo gobernante.	There are many political and social consequences, such as the use of the metric system, the displacement of absolutism towards republicanism, nationalism and the conviction that the country belongs to the people, and not to a single sovereign.
Also after the Revolution occupations were open to all male applicants allowing the most ambitious and successful to succeed.	Asimismo, luego de la Revolución, los puestos estuvieron abiertos a todos los candidatos masculinos, lo que permitió el éxito de los más ambiciosos y prestigiosos.	También después de las ocupaciones de Revolución estaban abiertas a todos los candidatos masculinos permitiendo que los más ambiciosos y exitosos tuvieran éxito.	Also, after the Revolution, the positions were open to all male candidates, which allowed the success of the most ambitious and prestigious.
Same goes for the military because instead of army rankings being based on class they were now based on cailaber.	Lo mismo sucede con los militares, ya que, en lugar de basar los cargos del ejército en clases, ahora se basan en el calibre.	Lo mismo vale para los militares porque en lugar de los rankings del ejército basados en la clase ahora estaban basados en Cailaber.	The same is true of the military, because instead of basing the army's positions on classes, they are now based on caliber.
The French Revolution also inspired many other repressed working class people of other country's to began their own revolutions.	La Revolución Francesa fue también fuente de inspiración para que muchas otras personas de la clase obrera reprimida de otros países encarasen sus propias revoluciones.	La Revolución Francesa también inspiró a muchas otras personas reprimidas de la clase obrera de otros países a iniciar sus propias revoluciones.	The French Revolution was also a source of inspiration for many other people of the repressed working class in other countries to face their own revolutions.
Muhammad was deeply interested in matters beyond this mundane life. He used to frequent a cave that became known as “Hira‘” on the Mountain of “Noor” (light) for contemplation.	Mahoma se interesaba profundamente en cuestiones más allá de esta vida mundana. Solía visitar una cueva que se hizo conocida como «Hira» en la montaña de «Noor» (luz) para reflexionar.	Muhammad estaba profundamente interesado en asuntos más allá de esta vida mundana. Solía frecuentar una cueva que se conocía como "Hira" en la montaña de "Noor" (luz) para la contemplación.	Muhammad was deeply interested in matters beyond this worldly life. He used to visit a cave that became known as "Hira" in the mountain of "Noor" (light) to reflect.
he cave itself, which survived the times, gives a very vivid image of Muhammad’s spiritual inclinations.	La cueva en sí misma, que perduró en el tiempo, ilustra de forma muy realista las inclinaciones espirituales de Mahoma.	se cave, que sobrevivió a los tiempos, da una imagen muy vívida de las inclinaciones espirituales de Mahoma.	The cave itself, which lasted in time, illustrates in a very realistic way the spiritual inclinations of Muhammad.
Resting on the top of one of the mountains north of Mecca, the cave is completely isolated from the rest of the world.	En la cúspide de una de las montañas al norte de La Meca, yace una cueva totalmente abstraída del resto del planeta.	Descansando en la cima de una de las montañas al norte de La Meca, la cueva está completamente aislada del resto del mundo.	On the cusp of one of the mountains north of Mecca lies a cave completely abstracted from the rest of the planet.
In fact, it is not easy to find at all even if one knew it existed. Once inside the cave, it is a total isolation.	En efecto, es muy difícil de encontrar, incluso si uno estuviera seguro de su existencia. En el interior de la cueva, el aislamiento es total.	De hecho, no es fácil de encontrar en absoluto, incluso si uno sabía que existía. Una vez dentro de la cueva, es un aislamiento total.	Indeed, it is very difficult to find, even if one were certain of its existence. Inside the cave, the isolation is total.
Nothing can be seen other than the clear, beautiful sky above and the many surrounding mountains. Very little of this world can be seen or heard from inside the cave.	Nada puede verse más que el maravilloso cielo despejado y las numerosas montañas de los alrededores. Desde el interior de esta cueva, se puede ver u oír muy poco de este mundo.	No se puede ver nada más que el cielo claro y hermoso de arriba y las muchas montañas circundantes. Muy poco de este mundo se puede ver u oír desde el interior de la cueva.	Nothing can be seen but the wonderful clear sky and numerous surrounding mountains. From the inside of this cave, you can see or hear very little of this world.
The Great Pyramid at Giza is the only one of the seven wonders that is still standing today.	De las siete maravillas, la única que sigue en pie es la Gran Pirámide de Guiza.	La Gran Pirámide de Giza es la única de las siete maravillas que todavía está en pie hoy.	Of the seven wonders, the only one still standing is the Great Pyramid of Giza.
Built by the Egyptians in the third century BCE, the Great Pyramid is one of many large pyramid structures built to honor dead Pharaoh.	La Gran Pirámide, levantada por el pueblo egipcio en el siglo III a. C., es una de las tantas estructuras de forma piramidal y gran tamaño construidas para venerar al faraón fallecido.	Construido por los egipcios en el siglo III antes de Cristo, la Gran Pirámide es una de las muchas grandes estructuras piramidales construidas para honrar a Faraón muerto.	The Great Pyramid, built by the Egyptian people in the 3rd century B.C., is one of the many pyramid-shaped and large structures built to venerate the deceased pharaoh.
The Giza Plateau, or "Giza Necropolis" in the Egyptian Valley of the Dead contains several pyramids (of which the great pyramid is the largest), several small tombs, several temples, and the great Sphinx.	La Meseta de Guiza, o «Necrópolis de Guiza», en el Valle de los Muertos, en Egipto, contiene numerosas pirámides (de las cuales la Gran Pirámide es la de mayor tamaño), varias tumbas pequeñas, templos, y la gran Esfinge.	La meseta de Giza, o "Necrópolis de Giza" en el Valle Egipcio de los Muertos contiene varias pirámides (de las cuales la gran pirámide es la más grande), varias tumbas pequeñas, varios templos, y la gran Esfinge.	The Giza Plateau, or "Necropolis of Giza", in the Valley of the Dead, in Egypt, contains numerous pyramids (of which the Great Pyramid is the largest), several small tombs, temples, and the great Sphinx.
The great pyramid was created to honor the Pharaoh Khufu, and many of the smaller pyramids, tombs, and temples were built to honor Khufu's wives and family members.	La gran pirámide fue construida en honor al faraón Khufu, y muchas otras de este tipo, tumbas y templos más pequeños se levantaron en honor a sus esposas y familiares.	La gran pirámide fue creada para honrar al faraón Khufu, y muchas de las pirámides más pequeñas, tumbas y templos fueron construidos para honrar a las esposas y miembros de la familia de Khufu.	The great pyramid was built in honor of Pharaoh Khufu, and many others of this kind, smaller tombs and temples were erected in honor of their wives and relatives.
The "up bow" mark looks like a V and the "down bow mark" like a staple or a square missing its bottom side.	La marca de «arco hacia arriba» se asemeja a una V y la marca de «arco hacia abajo» es similar a una grapa o un cuadrado sin su borde inferior.	La marca "arriba del arco" se ve como una V y la "abajo del arco" como una grapa o un cuadrado faltando su lado inferior.	The ‘arc upwards’ mark resembles a V and the ‘arc downwards’ mark is similar to a staple or a square without its lower edge.
Up means you should start at the tip and push the bow, and down means you should start at the frog (which is where your hand is holding the bow) and pull the bow.	Arriba quiere decir que se debe empezar en la punta y empujar el arco, y abajo significa que se debe comenzar en la rana, donde la mano sostiene el arco, y tirar de este.	Arriba significa que usted debe comenzar en la punta y empujar el arco, y abajo significa que usted debe comenzar en la rana (que es donde su mano está sosteniendo el arco) y tirar del arco.	Upstairs means you should start at the tip and push the bow, and down means you should start at the frog, where the hand holds the bow, and pull at it.
An up-bow usually generates a softer sound, while a down-bow is stronger and more assertive.	El movimiento ascendente del arco genera un sonido más suave, en tanto que uno descendente es más fuerte y tajante.	Un up-bow generalmente genera un sonido más suave, mientras que un down-bow es más fuerte y más asertivo.	The upward movement of the arc generates a softer sound, while a descending one is stronger and sharper.
Feel free to pencil in your own marks, but remember the printed bowing marks are there for a musical reason, so they should usually be respected.	Siéntase libre de hacer sus propias marcas con lápiz, pero no olvide que las marcas en los instrumentos de arco han sido impresas en ese lugar por con un propósito musical y, por tanto, deberían respetarse.	Siéntase libre de pintar en sus propias marcas, pero recuerde que las marcas de arco impresas están ahí por una razón musical, por lo que por lo general deben ser respetados.	Feel free to make your own marks with pencil, but don't forget that the marks on the arc instruments have been printed there for a musical purpose and should therefore be respected.
The terrified King Louis XVI, Queen Marie Antoinette their two young children (11 year old Marie Therese and four year old Louis-Charles) and the King's sister, Madam Elizabeth, on the 6th October 1789 were forced back to Paris from Versailles by a mob of market women.	El 6 de octubre de 1789, una muchedumbre de mujeres del mercado obligó al aterrorizado monarca Luis XVI, a María Antonieta, sus dos hijos pequeños (María Teresa, de once años y Luis Carlos, de cuatro) y a la hermana del rey, Madam Elizabeth, a volver a París desde Versalles.	El aterrorizado rey Luis XVI, la reina María Antonieta sus dos hijos pequeños (11 años Marie Teresa y cuatro años Louis-Charles) y la hermana del rey, la señora Isabel, el 6 de octubre de 1789 fueron obligados a volver a París desde Versalles por una multitud de mujeres del mercado.	On October 6, 1789, a crowd of market women forced the terrified monarch Louis XVI, Marie Antoinette, her two young children (María Teresa, eleven years old and Louis Charles, four years old) and the king's sister, Madam Elizabeth, to return to Paris from Versailles.
In a carriage, they traveled back to Paris surrounded by a mob of people screaming and shouting threats against the King and Queen.	Viajaron de vuelta hacia París en un carruaje rodeados por una muchedumbre que gritaban y lanzaban amenazas contra el rey y la reina.	En un carruaje, viajaron de vuelta a París rodeados por una multitud de personas gritando y gritando amenazas contra el Rey y la Reina.	They traveled back to Paris in a carriage surrounded by a crowd shouting and threatening the king and queen.
The mob of people forced the King And Queen to have their carriage windows wide open.	La muchedumbre forzó al rey y la reina a abrir por completo las ventanas de su carruaje.	La multitud de personas forzó al Rey y a la Reina a tener sus ventanas de carruaje abiertas.	The crowd forced the king and queen to open the windows of their carriage completely.
At one point a member of the mob waved the head of a royal guard killed at Versailles in front of the terrified Queen.	En cierto momento, un participante de la revuelta sacudió la cabeza de un guardia real ejecutado en Versalles frente a la reina, que estaba en pánico.	En un momento dado, un miembro de la mafia saludó a la cabeza de una guardia real asesinada en Versalles frente a la aterrada Reina.	At one point, a participant in the revolt shook the head of a royal guard executed in Versailles in front of the queen, who was in panic.
The war expenditures of U.S. imperialism in the conquest of the Philippines were paid for by the Filipino people themselves.	El propio pueblo filipino pagó los gastos de guerra del imperialismo de E.E. U.U. en la conquista de Filipinas.	Los gastos de guerra del imperialismo estadounidense en la conquista de Filipinas fueron pagados por el propio pueblo filipino.	The Filipino people themselves paid the war expenses of U.S. imperialism in the conquest of the Philippines.
They were compelled to pay taxes to the U.S. colonial regime to defray a major part of the expenditures and the interest on bonds floated in the name of the Philippine government through the Wall Street banking houses.	Fueron forzados a pagar impuestos al régimen colonial de EE. UU. con el propósito de solventar la mayor parte de los gastos e intereses de los bonos que fluctuaron en nombre del gobierno filipino en los bancos de Wall Street.	Se vieron obligados a pagar impuestos al régimen colonial de Estados Unidos para sufragar una parte importante de los gastos y los intereses sobre bonos flotados en nombre del gobierno filipino a través de las casas bancarias de Wall Street.	They were forced to pay taxes to the U.S. colonial regime for the purpose of settling most of the expenses and interest on bonds that fluctuated on behalf of the Philippine government in Wall Street banks.
Of course, the superprofits derived from the protracted exploitation of the Filipino people would constitute the basic gains of U.S. imperialism.	Desde ya, las super ganancias derivadas de la explotación prolongada del pueblo filipino constituirían las ganancias principales del imperialismo norteamericano.	Por supuesto, las superganancias derivadas de la prolongada explotación del pueblo filipino constituirían las ganancias básicas del imperialismo estadounidense.	From now on, the super-profits derived from the prolonged exploitation of the Filipino people would constitute the main profits of U.S. imperialism.
To understand the Templars one must understand the context that prompted the creation of the order.	Para comprender a los Templarios es preciso entender el contexto que dio origen a la instauración de la orden.	Para entender a los Templarios hay que entender el contexto que motivó la creación del orden.	To understand the Templars it is necessary to understand the context that gave rise to the establishment of the order.
The age where the events took place is commonly referred as the High Middle Ages the period of European history in the 11th, 12th, and 13th centuries (AD 1000–1300).	El período histórico europeo en el que se sitúan estos acontecimientos se conoce habitualmente como Alta Edad Media, entre los siglos XI, XII y XIII (es decir, entre los años 1000 y 1300 d. C.).	La época en la que tuvieron lugar los acontecimientos se conoce comúnmente como la Alta Edad Media, el período de la historia europea en los siglos XI, XII y XIII (1000-1300 d.C.).	The European historical period in which these events take place is commonly known as the High Middle Ages, between the 11th, 12th and 13th centuries (i.e. between 1000 and 1300 AD).
